"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"AUM00011389","ST POELTEN LANDHAUS, AU","2015-01-01","0.05",,"33",,"27"
"AUM00011389","ST POELTEN LANDHAUS, AU","2015-01-02","0.01",,"34",,"29"
"AUM00011389","ST POELTEN LANDHAUS, AU","2015-01-03","0.03",,"37","40","33"
"AUM00011389","ST POELTEN LANDHAUS, AU","2015-01-04","0.47",,"35","37","33"
"AUM00011389","ST POELTEN LANDHAUS, AU","2015-01-05","0.09","0.8","34","36","32"
"AUM00011389","ST POELTEN LANDHAUS, AU","2015-01-06","0.08","1.6","32","37",
"AUM00011389","ST POELTEN LANDHAUS, AU","2015-01-07","0.04",,"28",,"23"
"AUM00011389","ST POELTEN LANDHAUS, AU","2015-01-08","0.00","0.8","33","37","29"
"AUM00011389","ST POELTEN LANDHAUS, AU","2015-01-09","0.03",,"45","51","33"
"AUM00011389","ST POELTEN LANDHAUS, AU","2015-01-10","0.12",,"56","62","45"
"AUM00011389","ST POELTEN LANDHAUS, AU","2015-01-11","0.24",,"42","60",
"AUM00011389","ST POELTEN LANDHAUS, AU","2015-01-12","0.00",,"40","44","34"
"AUM00011389","ST POELTEN LANDHAUS, AU","2015-01-13","0.00",,"39","50",
"AUM00011389","ST POELTEN LANDHAUS, AU","2015-01-14","0.01",,"37","49","29"
"AUM00011389","ST POELTEN LANDHAUS, AU","2015-01-15","0.00",,"38","44","32"
"AUM00011389","ST POELTEN LANDHAUS, AU","2015-01-16","0.00",,"37","40","36"
"AUM00011389","ST POELTEN LANDHAUS, AU","2015-01-17","0.04",,"37","40","33"
"AUM00011389","ST POELTEN LANDHAUS, AU","2015-01-18","0.04",,"37","40","34"
"AUM00011389","ST POELTEN LANDHAUS, AU","2015-01-19","0.00",,"35","39","34"
"AUM00011389","ST POELTEN LANDHAUS, AU","2015-01-20","0.00",,"34","37",
"AUM00011389","ST POELTEN LANDHAUS, AU","2015-01-21","0.00",,"36","37","31"
"AUM00011389","ST POELTEN LANDHAUS, AU","2015-01-22","0.00",,"39","46","31"
"AUM00011389","ST POELTEN LANDHAUS, AU","2015-01-23","0.16",,"36","41","33"
"AUM00011389","ST POELTEN LANDHAUS, AU","2015-01-24","0.00",,"34","35",
"AUM00011389","ST POELTEN LANDHAUS, AU","2015-01-25","0.16",,"33","36","30"
"AUM00011389","ST POELTEN LANDHAUS, AU","2015-01-26","0.00",,"33","36",
"AUM00011389","ST POELTEN LANDHAUS, AU","2015-01-27","0.11","0.4","33","37","27"
"AUM00011389","ST POELTEN LANDHAUS, AU","2015-01-28","0.00",,"34","38","32"
"AUM00011389","ST POELTEN LANDHAUS, AU","2015-01-29","0.00",,"34","39","29"
"AUM00011389","ST POELTEN LANDHAUS, AU","2015-01-30","0.02",,"33","36","32"
"AUM00011389","ST POELTEN LANDHAUS, AU","2015-01-31","0.00",,"33","40","28"
"AUM00011389","ST POELTEN LANDHAUS, AU","2015-02-01","0.00",,"31","38","25"
"AUM00011389","ST POELTEN LANDHAUS, AU","2015-02-02","0.00",,"32","35","28"
"AUM00011389","ST POELTEN LANDHAUS, AU","2015-02-03","0.00",,"33","40","29"
"AUM00011389","ST POELTEN LANDHAUS, AU","2015-02-04","0.00",,"30","33","28"
"AUM00011389","ST POELTEN LANDHAUS, AU","2015-02-05","0.00",,"29","32","26"
"AUM00011389","ST POELTEN LANDHAUS, AU","2015-02-06","0.00",,"28","31","26"
"AUM00011389","ST POELTEN LANDHAUS, AU","2015-02-07","0.00",,"29","33","27"
"AUM00011389","ST POELTEN LANDHAUS, AU","2015-02-08","0.04",,"30","35","27"
"AUM00011389","ST POELTEN LANDHAUS, AU","2015-02-09","0.12",,"30",,"26"
"AUM00011389","ST POELTEN LANDHAUS, AU","2015-02-10","0.00","0.8","37","38","33"
"AUM00011389","ST POELTEN LANDHAUS, AU","2015-02-11","0.00",,"35","38","31"
"AUM00011389","ST POELTEN LANDHAUS, AU","2015-02-12","0.00",,"36","46",
"AUM00011389","ST POELTEN LANDHAUS, AU","2015-02-13","0.00",,"32","40","28"
"AUM00011389","ST POELTEN LANDHAUS, AU","2015-02-14","0.00",,"30","40","24"
