DATE,PRCP,SNWD,TAVG,TMAX,TMIN
2015-01-01,0.018888888888888886,13.4,26.4,32.0,19.2
2015-01-02,0.07222222222222223,12.2,29.85,37.25,24.142857142857142
2015-01-03,0.5233333333333333,20.9,30.2,36.44444444444444,27.0
2015-01-04,0.41,15.75,27.5,37.2,26.875
2015-01-05,0.1977777777777778,18.299999999999997,26.3,34.375,22.88888888888889
2015-01-06,0.04777777777777778,13.266666666666666,26.6,33.333333333333336,22.11111111111111
2015-01-07,0.02444444444444445,36.2,24.7,29.77777777777778,20.333333333333332
2015-01-08,0.012222222222222223,12.466666666666663,28.4,33.75,24.22222222222222
2015-01-09,0.20500000000000002,18.099999999999998,34.4,43.77777777777778,25.8
2015-01-10,0.2588888888888889,24.8,46.4,55.8,36.5
2015-01-11,0.5122222222222222,17.7,32.7,50.2,28.0
2015-01-12,0.13,17.7,30.8,41.111111111111114,25.444444444444443
2015-01-13,0.0,,33.1,42.22222222222222,25.77777777777778
2015-01-14,0.05777777777777778,16.5,31.9,41.111111111111114,27.25
2015-01-15,0.01888888888888889,16.5,32.1,39.44444444444444,25.333333333333332
2015-01-16,0.06555555555555555,16.5,35.6,43.4,29.0
2015-01-17,0.22600000000000003,16.1,34.3,41.9,31.666666666666668
2015-01-18,0.005555555555555556,16.9,29.4,33.5,30.22222222222222
2015-01-19,0.0,17.7,27.9,33.1,24.444444444444443
2015-01-20,0.0,17.3,26.9,33.0,22.857142857142858
2015-01-21,0.006,17.3,28.5,33.1,23.5
2015-01-22,0.008,16.5,31.5,35.666666666666664,27.666666666666668
2015-01-23,0.06555555555555555,16.5,29.7,34.0,26.555555555555557
2015-01-24,0.11333333333333334,18.5,28.2,30.7,27.571428571428573
2015-01-25,0.1577777777777778,12.4,25.5,27.666666666666668,25.375
2015-01-26,0.1011111111111111,0.4,23.7,27.88888888888889,19.11111111111111
2015-01-27,0.22444444444444445,9.6,24.2,30.0,21.88888888888889
2015-01-28,0.05333333333333334,13.533333333333331,24.2,34.285714285714285,20.7
2015-01-29,0.0642857142857143,10.450000000000001,26.55,31.3,21.6
2015-01-30,0.23400000000000004,10.25,24.9,30.22222222222222,20.555555555555557
2015-01-31,0.005555555555555556,14.166666666666666,22.4,29.7,17.9
2015-02-01,0.09333333333333334,35.4,21.8,27.555555555555557,19.333333333333332
2015-02-02,0.10500000000000002,19.3,22.4,28.4,19.555555555555557
2015-02-03,0.013333333333333332,14.566666666666665,21.1,27.5,16.2
2015-02-04,0.0,21.849999999999998,21.7,26.7,18.5
2015-02-05,0.013000000000000001,15.633333333333335,22.9,27.125,19.9
2015-02-06,0.01,14.966666666666669,22.9,25.88888888888889,21.0
2015-02-07,0.012222222222222223,19.299999999999997,21.9,28.7,18.333333333333332
2015-02-08,0.15125,19.65,19.9,29.4,17.375
2015-02-09,0.14666666666666667,7.9,22.7,28.5,16.75
2015-02-10,0.01125,12.2,30.2,37.55555555555556,24.555555555555557
2015-02-11,0.0,14.466666666666667,30.15,36.6,24.7
2015-02-12,0.0,11.225,31.55,37.5,27.5
2015-02-13,0.0,10.825000000000001,29.2,36.666666666666664,26.0
2015-02-14,0.0,18.700000000000003,29.1,36.0,25.25
2015-02-15,0.0,18.5,29.7,38.111111111111114,24.375
2015-02-16,0.0,18.5,29.9,39.5,23.8
2015-02-17,0.0,12.199999999999998,29.3,38.3,25.714285714285715
2015-02-18,0.0,17.7,28.8,33.6,24.22222222222222
2015-02-19,0.0,17.549999999999997,30.5,37.77777777777778,26.22222222222222
2015-02-20,0.0,17.15,31.4,43.6,23.4
2015-02-21,0.0044444444444444444,32.7,31.8,42.4,23.8
2015-02-22,0.11444444444444445,15.75,30.0,37.0,26.444444444444443
2015-02-23,0.07500000000000001,31.5,33.3,42.55555555555556,26.444444444444443
2015-02-24,0.3990000000000001,31.5,31.4,36.9,31.444444444444443
2015-02-25,0.053750000000000006,34.3,30.1,34.1,27.4
2015-02-26,0.0022222222222222222,35.0,31.4,39.1,26.0
2015-02-27,0.09500000000000001,34.3,31.4,42.5,24.0
2015-02-28,0.0,,31.5,37.7,26.125
2015-03-01,0.09000000000000002,33.9,32.2,40.55555555555556,24.0
2015-03-02,0.36333333333333334,34.3,34.7,41.888888888888886,32.666666666666664
2015-03-03,0.08444444444444445,17.5,30.8,41.666666666666664,24.125
2015-03-04,0.12777777777777777,35.4,30.9,37.111111111111114,27.22222222222222
2015-03-05,0.06555555555555555,18.5,28.4,33.1,25.5
2015-03-06,0.005555555555555556,38.6,28.6,39.22222222222222,22.9
2015-03-07,0.0044444444444444444,38.6,32.2,44.77777777777778,24.444444444444443
2015-03-08,0.0,37.8,35.1,46.77777777777778,25.333333333333332
2015-03-09,0.0,,35.5,46.0,27.3
2015-03-10,0.005555555555555556,36.2,36.3,49.1,28.125
2015-03-11,0.3033333333333334,35.8,33.4,41.111111111111114,32.166666666666664
2015-03-12,0.030000000000000002,,30.8,39.44444444444444,26.0
2015-03-13,0.0,37.8,30.8,35.888888888888886,25.1
2015-03-14,0.0011111111111111111,37.8,30.7,38.2,24.4
2015-03-15,0.003333333333333333,37.8,34.5,42.2,27.4
2015-03-16,0.0,37.0,39.1,46.333333333333336,30.5
2015-03-17,0.0,35.8,40.5,48.4,35.44444444444444
2015-03-18,0.0,34.6,38.9,49.5,30.22222222222222
2015-03-19,0.0,33.1,36.6,47.7,30.444444444444443
2015-03-20,0.0,,36.1,50.333333333333336,26.6
2015-03-21,0.14222222222222222,30.7,38.8,49.6,29.25
2015-03-22,0.083,34.6,36.5,44.9,30.875
2015-03-23,0.0,33.1,36.7,45.7,29.9
2015-03-24,0.02,26.4,39.6,52.0,29.1
2015-03-25,0.0775,28.3,41.1,49.111111111111114,31.88888888888889
2015-03-26,0.244,27.6,41.9,48.0,38.285714285714285
2015-03-27,0.33599999999999997,29.5,36.2,43.1,35.125
2015-03-28,0.07,15.75,36.4,49.25,30.88888888888889
2015-03-29,0.19111111111111115,31.5,41.1,49.44444444444444,30.7
2015-03-30,0.6000000000000001,27.2,39.6,47.6,35.5
2015-03-31,0.3611111111111111,33.5,41.5,53.77777777777778,31.0
2015-04-01,0.3422222222222222,16.95,31.7,42.4,25.0
2015-04-02,0.39777777777777773,18.3,31.2,38.4,25.6
2015-04-03,0.04555555555555555,20.849999999999998,31.7,40.3,24.555555555555557
2015-04-04,0.12222222222222223,41.3,33.0,39.1,28.22222222222222
2015-04-05,0.11444444444444445,,30.65,37.5,25.333333333333332
2015-04-06,0.10222222222222221,44.9,28.2,35.5,23.8
2015-04-07,0.0025,2.5500000000000003,30.0,41.111111111111114,23.6
2015-04-08,0.0,46.9,36.7,48.666666666666664,29.2
2015-04-09,0.0,45.7,44.2,55.1,32.77777777777778
2015-04-10,0.0,40.2,47.5,60.9,35.666666666666664
2015-04-11,0.09125,37.0,47.3,57.55555555555556,38.22222222222222
2015-04-12,0.02666666666666667,,47.8,58.0,39.666666666666664
2015-04-13,0.02375,30.7,47.9,58.3,39.0
2015-04-14,0.026666666666666665,30.7,46.4,55.4,38.5
2015-04-15,0.0011111111111111111,28.7,53.0,65.3,40.8
2015-04-16,0.0022222222222222222,25.6,54.4,66.5,43.0
2015-04-17,0.43444444444444447,22.8,48.2,58.8,47.666666666666664
2015-04-18,0.20099999999999998,22.8,37.2,45.6,34.714285714285715
2015-04-19,0.0011111111111111111,23.2,38.0,48.44444444444444,26.6
2015-04-20,0.0,22.4,42.8,53.4,33.25
2015-04-21,0.0022222222222222222,20.9,46.7,57.6,35.4
2015-04-22,0.013333333333333332,18.9,49.9,61.2,38.77777777777778
2015-04-23,0.29333333333333333,17.7,43.4,56.9,39.75
2015-04-24,0.041,20.9,45.6,56.6,34.888888888888886
2015-04-25,0.008888888888888889,11.8,51.3,62.77777777777778,38.2
2015-04-26,0.005555555555555556,9.8,52.6,61.8,44.77777777777778
2015-04-27,0.034444444444444444,6.3,53.1,63.8,43.4
2015-04-28,0.34777777777777774,3.1,43.9,56.3,42.25
2015-04-29,0.07333333333333333,4.7,42.6,52.0,33.2
2015-04-30,0.2533333333333333,3.1,42.3,51.7,34.3
2015-05-01,0.26888888888888884,3.9,44.1,49.22222222222222,37.7
2015-05-02,0.20200000000000004,0.8,47.5,56.888888888888886,42.666666666666664
2015-05-03,0.14,,49.5,56.111111111111114,42.77777777777778
2015-05-04,0.01666666666666667,,56.0,67.11111111111111,48.9
2015-05-05,0.0,,60.7,71.9,50.5
2015-05-06,0.24111111111111116,,53.2,66.3,48.75
2015-05-07,0.0014285714285714286,,51.2,60.8,42.9
2015-05-08,0.0811111111111111,,54.6,65.5,44.4
2015-05-09,0.17555555555555558,,51.7,59.3,48.625
2015-05-10,0.049999999999999996,,51.2,59.7,44.9
2015-05-11,0.0,,52.7,64.4,40.8
2015-05-12,0.0011111111111111111,,57.9,70.0,43.55555555555556
2015-05-13,0.2422222222222222,,58.9,69.3,53.55555555555556
2015-05-14,0.32599999999999996,,53.7,62.9,49.0
2015-05-15,0.213,,49.1,55.22222222222222,45.77777777777778
2015-05-16,0.0125,,52.8,61.6,48.0
2015-05-17,0.0022222222222222222,,52.1,59.7,45.22222222222222
2015-05-18,0.017777777777777778,,55.8,66.6,43.888888888888886
2015-05-19,0.35999999999999993,,53.7,63.333333333333336,48.888888888888886
2015-05-20,0.548,0.4,45.8,55.4,39.142857142857146
2015-05-21,0.38222222222222224,1.75,42.0,45.7,37.44444444444444
2015-05-22,0.5277777777777778,,43.6,46.22222222222222,41.0
2015-05-23,0.861111111111111,,43.0,45.3,41.1
2015-05-24,0.08333333333333333,,45.4,51.1,40.22222222222222
2015-05-25,0.05222222222222222,,49.55,57.4,42.77777777777778
2015-05-26,0.296,,47.9,52.0,48.285714285714285
2015-05-27,0.16666666666666669,,43.5,49.6,40.0
2015-05-28,0.003333333333333333,,47.5,59.3,37.5
2015-05-29,0.008888888888888889,,54.15,66.3,41.111111111111114
2015-05-30,0.14111111111111113,,54.5,64.8,47.5
2015-05-31,0.04,,55.0,63.1,46.333333333333336
2015-06-01,0.08777777777777779,,58.6,68.4,49.2
2015-06-02,0.039,,60.9,70.33333333333333,51.9
2015-06-03,0.039,,65.0,75.5,54.7
2015-06-04,0.075,,65.4,74.8,55.55555555555556
2015-06-05,0.0,,64.9,74.6,55.2
2015-06-06,0.12555555555555553,,66.8,77.22222222222223,57.25
2015-06-07,0.17,,66.4,76.4,58.111111111111114
2015-06-08,0.2275,,63.0,72.7,56.0
2015-06-09,0.10777777777777778,,58.0,67.0,52.875
2015-06-10,0.0044444444444444444,,59.1,68.2,50.111111111111114
2015-06-11,0.09888888888888889,,61.9,71.1,53.7
2015-06-12,0.006666666666666667,,65.8,76.6,53.333333333333336
2015-06-13,0.08000000000000002,,65.2,76.0,56.666666666666664
2015-06-14,0.16777777777777775,,61.4,71.66666666666667,53.666666666666664
2015-06-15,0.347,,57.2,65.0,56.714285714285715
2015-06-16,0.49800000000000005,,53.6,57.333333333333336,54.42857142857143
2015-06-17,0.01,,51.3,58.3,45.888888888888886
2015-06-18,0.21000000000000002,,52.7,61.4,43.22222222222222
2015-06-19,0.3755555555555556,,51.9,58.1,51.666666666666664
2015-06-20,0.50125,0.4,46.4,53.0,41.25
2015-06-21,0.10250000000000002,,48.5,56.3,42.3
2015-06-22,0.37249999999999994,,54.4,66.2,45.5
2015-06-23,0.5644444444444444,0.4,49.7,57.333333333333336,47.5
2015-06-24,0.22111111111111115,,50.7,58.333333333333336,43.55555555555556
2015-06-25,0.0,,54.3,63.77777777777778,42.9
2015-06-26,0.0,,57.8,67.4,46.8
2015-06-27,0.288,,57.9,65.5,56.5
2015-06-28,0.23888888888888887,,56.9,65.5,50.0
2015-06-29,0.02888888888888889,,58.3,68.4,49.0
2015-06-30,0.0,,62.1,71.66666666666667,51.111111111111114
2015-07-01,0.0,,66.35,76.9,55.0
2015-07-02,0.001,,68.7,78.8,58.3
2015-07-03,0.013333333333333332,,68.6,79.1,58.666666666666664
2015-07-04,0.0,,70.2,80.77777777777777,60.5
2015-07-05,0.006666666666666666,,71.7,84.8,60.111111111111114
2015-07-06,0.11500000000000002,,71.0,81.22222222222223,60.333333333333336
2015-07-07,0.13333333333333336,,74.5,86.2,62.77777777777778
2015-07-08,0.69,0.4,63.4,80.2,58.666666666666664
2015-07-09,0.12666666666666668,,55.95,63.9,51.0
2015-07-10,0.017777777777777778,,57.05,66.22222222222223,46.1
2015-07-11,0.01888888888888889,,62.3,75.4,49.22222222222222
2015-07-12,0.06222222222222223,,66.4,76.55555555555556,54.8
2015-07-13,0.13799999999999998,,59.5,70.44444444444444,55.111111111111114
2015-07-14,0.08777777777777779,,62.4,70.11111111111111,55.7
2015-07-15,0.076,,66.1,76.7,58.2
2015-07-16,0.0022222222222222222,,69.1,80.0,58.1
2015-07-17,0.09444444444444444,,71.9,84.5,63.75
