"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"BE000006447","UCCLE, BE","2015-01-01","0.00",,"36","41","30"
"BE000006447","UCCLE, BE","2015-01-02","0.15",,"42","48","36"
"BE000006447","UCCLE, BE","2015-01-03","0.67",,"37","40",
"BE000006447","UCCLE, BE","2015-01-04","0.00",,"35","40","33"
"BE000006447","UCCLE, BE","2015-01-05","0.01",,"34","41",
"BE000006447","UCCLE, BE","2015-01-06","0.00",,"32",,"27"
"BE000006447","UCCLE, BE","2015-01-07","0.01",,"38","41","35"
"BE000006447","UCCLE, BE","2015-01-08","1.14",,"43","49","36"
"BE000006447","UCCLE, BE","2015-01-09","0.16",,"49",,"42"
"BE000006447","UCCLE, BE","2015-01-10","0.26",,"50",,
"BE000006447","UCCLE, BE","2015-01-11","0.00",,"40","44","36"
"BE000006447","UCCLE, BE","2015-01-12","0.02",,"46",,"42"
"BE000006447","UCCLE, BE","2015-01-13","0.20",,"48","51",
"BE000006447","UCCLE, BE","2015-01-14","0.31",,"40",,
"BE000006447","UCCLE, BE","2015-01-15","0.28",,"47","49","39"
"BE000006447","UCCLE, BE","2015-01-16","0.03",,"42","45",
"BE000006447","UCCLE, BE","2015-01-17","0.02",,"36","40",
"BE000006447","UCCLE, BE","2015-01-18","0.12",,"37","42",
"BE000006447","UCCLE, BE","2015-01-19","0.28",,"34","36",
"BE000006447","UCCLE, BE","2015-01-20","0.00",,"33","37","30"
"BE000006447","UCCLE, BE","2015-01-21","0.00",,"32","38",
"BE000006447","UCCLE, BE","2015-01-22","0.00",,"30","31","28"
"BE000006447","UCCLE, BE","2015-01-23","0.00",,"30","32",
"BE000006447","UCCLE, BE","2015-01-24","0.28",,"34","41","29"
"BE000006447","UCCLE, BE","2015-01-25","0.00",,"36",,"29"
"BE000006447","UCCLE, BE","2015-01-26","0.24",,"42","47","39"
"BE000006447","UCCLE, BE","2015-01-27","0.01",,"39","44","35"
"BE000006447","UCCLE, BE","2015-01-28","0.28",,"40","45",
"BE000006447","UCCLE, BE","2015-01-29","0.01",,"37","40",
"BE000006447","UCCLE, BE","2015-01-30","0.13",,"34","36","32"
