DATE,PRCP,SNWD,TAVG,TMAX,TMIN
2015-01-01,0.0,,36,41.0,30.0
2015-01-02,0.15,,42,48.0,36.0
2015-01-03,0.67,,37,40.0,
2015-01-04,0.0,,35,40.0,33.0
2015-01-05,0.01,,34,41.0,
2015-01-06,0.0,,32,,27.0
2015-01-07,0.01,,38,41.0,35.0
2015-01-08,1.14,,43,49.0,36.0
2015-01-09,0.16,,49,,42.0
2015-01-10,0.26,,50,,
2015-01-11,0.0,,40,44.0,36.0
2015-01-12,0.02,,46,,42.0
2015-01-13,0.2,,48,51.0,
2015-01-14,0.31,,40,,
2015-01-15,0.28,,47,49.0,39.0
2015-01-16,0.03,,42,45.0,
2015-01-17,0.02,,36,40.0,
2015-01-18,0.12,,37,42.0,
2015-01-19,0.28,,34,36.0,
2015-01-20,0.0,,33,37.0,30.0
2015-01-21,0.0,,32,38.0,
2015-01-22,0.0,,30,31.0,28.0
2015-01-23,0.0,,30,32.0,
2015-01-24,0.28,,34,41.0,29.0
2015-01-25,0.0,,36,,29.0
2015-01-26,0.24,,42,47.0,39.0
2015-01-27,0.01,,39,44.0,35.0
2015-01-28,0.28,,40,45.0,
2015-01-29,0.01,,37,40.0,
2015-01-30,0.13,,34,36.0,32.0
2015-01-31,0.0,,35,38.0,31.0
2015-02-01,0.31,,36,40.0,33.0
2015-02-02,0.12,,35,40.0,
2015-02-03,0.0,,33,38.0,29.0
2015-02-04,0.01,,34,42.0,28.0
2015-02-05,0.01,,30,35.0,27.0
2015-02-06,0.0,,31,36.0,27.0
2015-02-07,0.0,,34,42.0,
2015-02-08,0.0,,40,44.0,
2015-02-09,0.0,,38,41.0,34.0
2015-02-10,0.02,,41,42.0,39.0
2015-02-11,0.0,,37,,
2015-02-12,0.0,,35,45.0,29.0
2015-02-13,0.0,,43,53.0,31.0
2015-02-14,0.08,,44,49.0,
2015-02-15,0.0,,42,52.0,
2015-02-16,0.0,,37,42.0,31.0
2015-02-17,0.02,,40,46.0,
2015-02-18,0.0,,33,41.0,29.0
2015-02-19,0.0,,38,42.0,31.0
2015-02-20,0.35,,42,44.0,38.0
2015-02-21,0.55,,38,43.0,
2015-02-22,0.04,,37,44.0,
2015-02-23,0.35,,41,51.0,37.0
2015-02-24,0.12,,41,47.0,
2015-02-25,0.08,,39,42.0,35.0
2015-02-26,0.0,,44,49.0,39.0
2015-02-27,,,40,,
2015-02-28,,,41,49.0,
2015-03-01,0.12,,47,51.0,42.0
2015-03-02,0.13,,42,47.0,
2015-03-03,0.03,,40,46.0,37.0
2015-03-04,0.0,,39,46.0,34.0
2015-03-05,0.0,,39,50.0,30.0
2015-03-06,0.0,,42,49.0,35.0
2015-03-07,0.0,,47,58.0,40.0
2015-03-08,0.0,,51,64.0,43.0
2015-03-09,0.0,,48,54.0,45.0
2015-03-10,,,48,,
2015-03-11,,,41,,33.0
2015-03-12,0.0,,45,57.0,33.0
2015-03-13,,,43,,33.0
2015-03-14,,,43,,33.0
2015-03-15,,,43,,33.0
2015-03-16,,,43,,33.0
2015-03-17,,,43,,33.0
2015-03-18,,,43,,33.0
2015-03-19,,,43,,33.0
2015-03-20,,,43,,33.0
2015-03-21,,,43,,33.0
2015-03-22,,,43,,33.0
2015-03-23,,,43,,33.0
2015-03-24,,,43,,33.0
2015-03-25,,,43,,33.0
2015-03-26,,,43,,33.0
2015-03-27,,,43,,33.0
2015-03-28,,,43,,33.0
2015-03-29,,,43,,33.0
2015-03-30,,,43,,33.0
2015-03-31,,,43,,33.0
2015-04-01,,,43,,33.0
2015-04-02,,,43,,33.0
2015-04-03,,,43,,33.0
2015-04-04,,,43,,33.0
2015-04-05,,,43,,33.0
2015-04-06,,,43,,33.0
2015-04-07,,,43,,33.0
2015-04-08,,,43,,33.0
2015-04-09,,,43,,33.0
2015-04-10,,,43,,33.0
2015-04-11,,,43,,33.0
2015-04-12,,,43,,33.0
2015-04-13,,,43,,33.0
2015-04-14,,,43,,33.0
2015-04-15,,,43,,33.0
2015-04-16,,,43,,33.0
2015-04-17,,,50,,45.0
2015-04-18,,,47,,38.0
2015-04-19,,,53,,39.0
2015-04-20,,,53,,39.0
2015-04-21,,,53,,39.0
2015-04-22,,,53,,39.0
2015-04-23,,,53,,39.0
2015-04-24,,,53,,39.0
2015-04-25,,,53,,39.0
2015-04-26,,,53,,39.0
2015-04-27,,,53,,39.0
2015-04-28,,,53,,39.0
2015-04-29,,,53,,39.0
2015-04-30,,,53,,39.0
2015-05-01,,,53,,39.0
2015-05-02,,,53,,39.0
2015-05-03,,,53,,39.0
2015-05-04,,,53,,39.0
2015-05-05,,,53,,39.0
2015-05-06,,,53,,39.0
2015-05-07,,,53,,39.0
2015-05-08,,,53,,39.0
2015-05-09,,,53,,39.0
2015-05-10,,,53,,39.0
2015-05-11,,,53,,39.0
2015-05-12,,,53,,39.0
2015-05-13,,,56,,45.0
2015-05-14,,,56,,45.0
2015-05-15,,,56,,45.0
2015-05-16,,,56,,45.0
2015-05-17,,,56,,45.0
2015-05-18,,,56,,45.0
2015-05-19,,,56,,45.0
2015-05-20,,,51,,43.0
2015-05-21,,,55,,41.0
2015-05-22,,,55,,41.0
2015-05-23,,,55,,41.0
2015-05-24,,,55,,41.0
2015-05-25,,,55,,41.0
