"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"BUM00015552","VARNA, BU","2015-01-01","0.00",,"19","29",
"BUM00015552","VARNA, BU","2015-01-02","0.00",,"26",,
"BUM00015552","VARNA, BU","2015-01-03","0.00",,"35",,
"BUM00015552","VARNA, BU","2015-01-04","0.00",,"35","40",
"BUM00015552","VARNA, BU","2015-01-05","0.05",,"33","40",
"BUM00015552","VARNA, BU","2015-01-06","0.00",,"28","35",
"BUM00015552","VARNA, BU","2015-01-07","0.00",,"16","25",
"BUM00015552","VARNA, BU","2015-01-08","0.00",,"15","27",
"BUM00015552","VARNA, BU","2015-01-09","0.00",,"26","39",
"BUM00015552","VARNA, BU","2015-01-10","0.00",,"40",,
"BUM00015552","VARNA, BU","2015-01-11","0.01",,"50","66",
"BUM00015552","VARNA, BU","2015-01-12","0.05",,"37","54",
"BUM00015552","VARNA, BU","2015-01-13","0.12",,"33","46",
"BUM00015552","VARNA, BU","2015-01-14","0.00",,"35",,
"BUM00015552","VARNA, BU","2015-01-15","0.00",,"39","50",
"BUM00015552","VARNA, BU","2015-01-16","0.00",,"37","44",
"BUM00015552","VARNA, BU","2015-01-17","0.00",,"38",,
"BUM00015552","VARNA, BU","2015-01-18","0.00",,"36","47",
"BUM00015552","VARNA, BU","2015-01-19","0.00",,"49","61","37"
"BUM00015552","VARNA, BU","2015-01-20","0.00",,"46",,
"BUM00015552","VARNA, BU","2015-01-21","0.00",,"42",,"39"
"BUM00015552","VARNA, BU","2015-01-22","0.00",,"44",,"39"
"BUM00015552","VARNA, BU","2015-01-23","0.00",,"48",,
"BUM00015552","VARNA, BU","2015-01-24","0.00",,"47","51",
"BUM00015552","VARNA, BU","2015-01-25","0.20",,"45","53",
"BUM00015552","VARNA, BU","2015-01-26","0.15",,"39","45",
"BUM00015552","VARNA, BU","2015-01-27","0.05",,"39",,"37"
"BUM00015552","VARNA, BU","2015-01-28","0.22",,"38","43",
"BUM00015552","VARNA, BU","2015-01-29","0.11",,"40","43","37"
"BUM00015552","VARNA, BU","2015-01-30","0.00",,"48",,"41"
"BUM00015552","VARNA, BU","2015-01-31","0.00",,"48",,
"BUM00015552","VARNA, BU","2015-02-01","1.32",,"45","51","41"
"BUM00015552","VARNA, BU","2015-02-02","0.66",,"45","54",
"BUM00015552","VARNA, BU","2015-02-03","0.00",,"39",,
"BUM00015552","VARNA, BU","2015-02-04","0.00",,"42",,
"BUM00015552","VARNA, BU","2015-02-05","0.04",,"45","52",
"BUM00015552","VARNA, BU","2015-02-06","0.02",,"41","46","39"
"BUM00015552","VARNA, BU","2015-02-07","0.43","0.4","31","42",
"BUM00015552","VARNA, BU","2015-02-08","0.00","0.4","33","40",
"BUM00015552","VARNA, BU","2015-02-09","0.00",,"32","38",
"BUM00015552","VARNA, BU","2015-02-10","0.00",,"29","35",
"BUM00015552","VARNA, BU","2015-02-11","0.00",,"26","32",
"BUM00015552","VARNA, BU","2015-02-12","0.01","0.4","31",,
"BUM00015552","VARNA, BU","2015-02-13","0.00",,"34",,
"BUM00015552","VARNA, BU","2015-02-14","0.00",,"36","41",
"BUM00015552","VARNA, BU","2015-02-15","0.00",,"39","46",
"BUM00015552","VARNA, BU","2015-02-16","0.00",,"34","39",
"BUM00015552","VARNA, BU","2015-02-17","0.00",,"24","33",
"BUM00015552","VARNA, BU","2015-02-18","0.00",,"25","31",
"BUM00015552","VARNA, BU","2015-02-19","0.00",,"34","44",
"BUM00015552","VARNA, BU","2015-02-20","0.00",,"39","43",
"BUM00015552","VARNA, BU","2015-02-21","0.00",,"40",,"32"
"BUM00015552","VARNA, BU","2015-02-22","0.00",,"41",,
"BUM00015552","VARNA, BU","2015-02-23","0.00",,"45",,"43"
"BUM00015552","VARNA, BU","2015-02-24","0.02",,"45",,
"BUM00015552","VARNA, BU","2015-02-25","0.01",,"46","48",
"BUM00015552","VARNA, BU","2015-02-26","0.05",,"48",,
"BUM00015552","VARNA, BU","2015-02-27","0.00",,"47",,
"BUM00015552","VARNA, BU","2015-02-28","0.00",,"50","60",
"BUM00015552","VARNA, BU","2015-03-01","0.00",,"45",,"41"
"BUM00015552","VARNA, BU","2015-03-02","0.00",,"46",,
"BUM00015552","VARNA, BU","2015-03-03","0.08",,"44","49",
"BUM00015552","VARNA, BU","2015-03-04","0.00",,"41","54",
"BUM00015552","VARNA, BU","2015-03-05","0.00",,"41","51",
"BUM00015552","VARNA, BU","2015-03-06","0.00",,"44","46",
"BUM00015552","VARNA, BU","2015-03-07","1.19",,"39","42",
"BUM00015552","VARNA, BU","2015-03-08","0.06",,"42",,
"BUM00015552","VARNA, BU","2015-03-09","0.00",,"43",,
"BUM00015552","VARNA, BU","2015-03-10","0.00",,"41","43",
"BUM00015552","VARNA, BU","2015-03-11","0.00",,"41",,
"BUM00015552","VARNA, BU","2015-03-12","0.00",,"39",,
"BUM00015552","VARNA, BU","2015-03-13","0.00",,"44",,
"BUM00015552","VARNA, BU","2015-03-14","0.00",,"43","50",
"BUM00015552","VARNA, BU","2015-03-15","0.06",,"44",,
"BUM00015552","VARNA, BU","2015-03-16","0.00",,"47",,
"BUM00015552","VARNA, BU","2015-03-17","0.00",,"40","49",
"BUM00015552","VARNA, BU","2015-03-18","0.00",,"35","42",
"BUM00015552","VARNA, BU","2015-03-19","0.00",,"35",,
"BUM00015552","VARNA, BU","2015-03-20","0.00",,"37","44",
"BUM00015552","VARNA, BU","2015-03-21","0.23",,"43","53","32"
"BUM00015552","VARNA, BU","2015-03-22","0.00",,"46",,
"BUM00015552","VARNA, BU","2015-03-23","0.00",,"43","49",
"BUM00015552","VARNA, BU","2015-03-24","0.00",,"41",,
"BUM00015552","VARNA, BU","2015-03-25","0.00",,"44",,
"BUM00015552","VARNA, BU","2015-03-26","0.00",,"50",,
"BUM00015552","VARNA, BU","2015-03-27","0.09",,"49","52",
"BUM00015552","VARNA, BU","2015-03-28","0.69",,"51","54","48"
"BUM00015552","VARNA, BU","2015-03-29","0.02",,"49","54",
"BUM00015552","VARNA, BU","2015-03-30","0.00",,"49",,
"BUM00015552","VARNA, BU","2015-03-31","0.01",,"51","62",
"BUM00015552","VARNA, BU","2015-04-01","0.00",,"52","60",
"BUM00015552","VARNA, BU","2015-04-02","0.00",,"47","56",
"BUM00015552","VARNA, BU","2015-04-03","0.00",,"44","54",
"BUM00015552","VARNA, BU","2015-04-04","0.00",,"44","56",
"BUM00015552","VARNA, BU","2015-04-05","0.00",,"47",,
"BUM00015552","VARNA, BU","2015-04-06","0.48",,"45",,
"BUM00015552","VARNA, BU","2015-04-07","0.77",,"41","46",
"BUM00015552","VARNA, BU","2015-04-08","0.01",,"46","50","38"
"BUM00015552","VARNA, BU","2015-04-09","0.00",,"47",,
"BUM00015552","VARNA, BU","2015-04-10","0.00",,"48",,
"BUM00015552","VARNA, BU","2015-04-11","0.00",,"55",,
"BUM00015552","VARNA, BU","2015-04-12","0.00",,"54",,
"BUM00015552","VARNA, BU","2015-04-13","0.00",,"57",,
"BUM00015552","VARNA, BU","2015-04-14","0.00",,"50","60",
"BUM00015552","VARNA, BU","2015-04-15","0.00",,"53",,
"BUM00015552","VARNA, BU","2015-04-16","0.00",,"59",,
"BUM00015552","VARNA, BU","2015-04-17","0.00",,"67",,
"BUM00015552","VARNA, BU","2015-04-18","0.00",,"63","77",
"BUM00015552","VARNA, BU","2015-04-19","0.73",,"46","57",
"BUM00015552","VARNA, BU","2015-04-20","0.00",,"49","60",
"BUM00015552","VARNA, BU","2015-04-21","0.00",,"47","56",
"BUM00015552","VARNA, BU","2015-04-22","0.02",,"44","53",
"BUM00015552","VARNA, BU","2015-04-23","0.12",,"47",,
"BUM00015552","VARNA, BU","2015-04-24","0.00",,"51",,
"BUM00015552","VARNA, BU","2015-04-25","0.00",,"55",,
"BUM00015552","VARNA, BU","2015-04-26","0.00",,"55",,
"BUM00015552","VARNA, BU","2015-04-27","0.00",,"56",,
"BUM00015552","VARNA, BU","2015-04-28","0.00",,"57",,
"BUM00015552","VARNA, BU","2015-04-29","0.01",,"58","73",
"BUM00015552","VARNA, BU","2015-04-30","0.00",,"54",,
"BUM00015552","VARNA, BU","2015-05-01","0.00",,"54",,
"BUM00015552","VARNA, BU","2015-05-02","0.00",,"59",,
"BUM00015552","VARNA, BU","2015-05-03","0.29",,"59",,
"BUM00015552","VARNA, BU","2015-05-04","0.00",,"59",,
"BUM00015552","VARNA, BU","2015-05-05","0.00",,"60",,
"BUM00015552","VARNA, BU","2015-05-06","0.00",,"59",,
"BUM00015552","VARNA, BU","2015-05-07","0.00",,"63",,
"BUM00015552","VARNA, BU","2015-05-08","0.67",,"62",,
"BUM00015552","VARNA, BU","2015-05-09","0.00",,"58",,
"BUM00015552","VARNA, BU","2015-05-10","0.00",,"58",,
"BUM00015552","VARNA, BU","2015-05-11","0.00",,"60","70",
"BUM00015552","VARNA, BU","2015-05-12","0.00",,"61",,
"BUM00015552","VARNA, BU","2015-05-13","0.00",,"64",,
"BUM00015552","VARNA, BU","2015-05-14","0.00",,"65",,
"BUM00015552","VARNA, BU","2015-05-15",,,"64",,
"BUM00015552","VARNA, BU","2015-05-16","0.00",,"64",,
"BUM00015552","VARNA, BU","2015-05-17","0.03",,"65",,
"BUM00015552","VARNA, BU","2015-05-18","0.00",,"65",,
"BUM00015552","VARNA, BU","2015-05-19","0.00",,"64",,
"BUM00015552","VARNA, BU","2015-05-20","0.00",,"67",,
"BUM00015552","VARNA, BU","2015-05-21","0.00",,"66",,
"BUM00015552","VARNA, BU","2015-05-22","0.00",,"65",,
"BUM00015552","VARNA, BU","2015-05-23","0.00",,"64",,
"BUM00015552","VARNA, BU","2015-05-24","0.00",,"64",,
"BUM00015552","VARNA, BU","2015-05-25","0.00",,"63",,
"BUM00015552","VARNA, BU","2015-05-26","0.00",,"65","77",
"BUM00015552","VARNA, BU","2015-05-27","0.02",,"65","76",
"BUM00015552","VARNA, BU","2015-05-28","0.02",,"60","68",
"BUM00015552","VARNA, BU","2015-05-29","0.00",,"60","68",
"BUM00015552","VARNA, BU","2015-05-30","0.00",,"63",,
"BUM00015552","VARNA, BU","2015-05-31","0.00",,"63",,
"BUM00015552","VARNA, BU","2015-06-01","0.00",,"64",,
"BUM00015552","VARNA, BU","2015-06-02","0.00",,"64",,
"BUM00015552","VARNA, BU","2015-06-03","0.00",,"68",,
"BUM00015552","VARNA, BU","2015-06-04","0.00",,"72",,
"BUM00015552","VARNA, BU","2015-06-05","0.00",,"72","80",
"BUM00015552","VARNA, BU","2015-06-06","0.00",,"71","79",
"BUM00015552","VARNA, BU","2015-06-07","0.00",,"69",,
"BUM00015552","VARNA, BU","2015-06-08","0.00",,"68",,
"BUM00015552","VARNA, BU","2015-06-09","0.00",,"66",,
"BUM00015552","VARNA, BU","2015-06-10","0.01",,"67",,
"BUM00015552","VARNA, BU","2015-06-11","0.00",,"69",,"60"
"BUM00015552","VARNA, BU","2015-06-12","0.70",,"72",,
"BUM00015552","VARNA, BU","2015-06-13","0.00",,"71",,
"BUM00015552","VARNA, BU","2015-06-14","0.00",,"71",,
"BUM00015552","VARNA, BU","2015-06-15","0.00",,"73",,
"BUM00015552","VARNA, BU","2015-06-16","0.06",,"71","78",
"BUM00015552","VARNA, BU","2015-06-17","0.00",,"70","78",
"BUM00015552","VARNA, BU","2015-06-18","0.00",,"68",,
"BUM00015552","VARNA, BU","2015-06-19","0.00",,"67",,
"BUM00015552","VARNA, BU","2015-06-20","0.00",,"70","81",
"BUM00015552","VARNA, BU","2015-06-21","0.10",,"65","75",
"BUM00015552","VARNA, BU","2015-06-22","0.35",,"63",,
"BUM00015552","VARNA, BU","2015-06-23","0.00",,"66",,
"BUM00015552","VARNA, BU","2015-06-24","0.00",,"69",,
"BUM00015552","VARNA, BU","2015-06-25","0.00",,"69","78",
"BUM00015552","VARNA, BU","2015-06-26","0.00",,"67","78",
"BUM00015552","VARNA, BU","2015-06-27","0.10",,"69","80",
"BUM00015552","VARNA, BU","2015-06-28","0.00",,"71","81",
"BUM00015552","VARNA, BU","2015-06-29","0.00",,"71","80","64"
"BUM00015552","VARNA, BU","2015-06-30","0.00",,"71",,
"BUM00015552","VARNA, BU","2015-07-01","0.00",,"71",,
"BUM00015552","VARNA, BU","2015-07-02","0.00",,"73",,
"BUM00015552","VARNA, BU","2015-07-03","0.00",,"69","79",
"BUM00015552","VARNA, BU","2015-07-04","0.01",,"67",,
"BUM00015552","VARNA, BU","2015-07-05","0.24",,"69",,
"BUM00015552","VARNA, BU","2015-07-06","0.01",,"73",,
"BUM00015552","VARNA, BU","2015-07-07","0.00",,"75",,
"BUM00015552","VARNA, BU","2015-07-08","0.00",,"76",,
"BUM00015552","VARNA, BU","2015-07-09","0.00",,"75",,
"BUM00015552","VARNA, BU","2015-07-10","0.00",,"72","84",
"BUM00015552","VARNA, BU","2015-07-11","0.00",,"69","78",
"BUM00015552","VARNA, BU","2015-07-12","0.00",,"69","80",
"BUM00015552","VARNA, BU","2015-07-13","0.00",,"72",,
"BUM00015552","VARNA, BU","2015-07-14","0.00",,"66",,
"BUM00015552","VARNA, BU","2015-07-15","0.10",,"71",,
"BUM00015552","VARNA, BU","2015-07-16","0.00",,"73",,
"BUM00015552","VARNA, BU","2015-07-17","0.00",,"72",,
"BUM00015552","VARNA, BU","2015-07-18","0.00",,"75",,
"BUM00015552","VARNA, BU","2015-07-19","0.00",,"76",,
"BUM00015552","VARNA, BU","2015-07-20","0.00",,"73",,
"BUM00015552","VARNA, BU","2015-07-21","0.00",,"76",,
"BUM00015552","VARNA, BU","2015-07-22","0.00",,"74",,
"BUM00015552","VARNA, BU","2015-07-23","0.00",,"74",,
"BUM00015552","VARNA, BU","2015-07-24","0.00",,"74",,
"BUM00015552","VARNA, BU","2015-07-25","0.00",,"75",,
"BUM00015552","VARNA, BU","2015-07-26","0.00",,"81",,
"BUM00015552","VARNA, BU","2015-07-27","0.00",,"79",,
"BUM00015552","VARNA, BU","2015-07-28","0.01",,"80",,
"BUM00015552","VARNA, BU","2015-07-29","0.00",,"79",,
"BUM00015552","VARNA, BU","2015-07-30","0.00",,"79",,
"BUM00015552","VARNA, BU","2015-07-31","0.00",,"80",,
"BUM00015552","VARNA, BU","2015-08-01","0.37",,"71","80",
"BUM00015552","VARNA, BU","2015-08-02","0.00",,"75",,
"BUM00015552","VARNA, BU","2015-08-03","0.00",,"76",,
"BUM00015552","VARNA, BU","2015-08-04","0.00",,"81",,
"BUM00015552","VARNA, BU","2015-08-05","0.00",,"83",,
"BUM00015552","VARNA, BU","2015-08-06","0.00",,"85",,
"BUM00015552","VARNA, BU","2015-08-07","0.00",,"82",,
"BUM00015552","VARNA, BU","2015-08-08","0.00",,"78",,
"BUM00015552","VARNA, BU","2015-08-09",,,"79",,
"BUM00015552","VARNA, BU","2015-08-10","0.00",,"78",,
"BUM00015552","VARNA, BU","2015-08-11","0.00",,"78",,
"BUM00015552","VARNA, BU","2015-08-12","0.00",,"78",,
"BUM00015552","VARNA, BU","2015-08-13","0.00",,"79",,
"BUM00015552","VARNA, BU","2015-08-14","0.00",,"77",,
"BUM00015552","VARNA, BU","2015-08-15","0.00",,"80",,
"BUM00015552","VARNA, BU","2015-08-16","0.00",,"79",,
"BUM00015552","VARNA, BU","2015-08-17","0.00",,"78","86",
"BUM00015552","VARNA, BU","2015-08-18","1.13",,"74",,
"BUM00015552","VARNA, BU","2015-08-19","0.00",,"72","83",
"BUM00015552","VARNA, BU","2015-08-20","0.44",,"69","81",
"BUM00015552","VARNA, BU","2015-08-21","0.26",,"67","76",
"BUM00015552","VARNA, BU","2015-08-22","0.21",,"68","74",
"BUM00015552","VARNA, BU","2015-08-23","0.05",,"67","77",
"BUM00015552","VARNA, BU","2015-08-24","0.00",,"71",,
"BUM00015552","VARNA, BU","2015-08-25","0.00",,"71",,
