"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"HRE00105203","OSIJEK, HR","2015-01-01","0.00",,,"23","-1"
"HRE00105203","OSIJEK, HR","2015-01-02","0.00",,,"35","22"
"HRE00105203","OSIJEK, HR","2015-01-03","0.06",,,"40","26"
"HRE00105203","OSIJEK, HR","2015-01-04","0.07",,,"42","33"
"HRE00105203","OSIJEK, HR","2015-01-05","0.00",,,"38","29"
"HRE00105203","OSIJEK, HR","2015-01-06","0.01",,,"39","26"
"HRE00105203","OSIJEK, HR","2015-01-07","0.00",,,"26","20"
"HRE00105203","OSIJEK, HR","2015-01-08","0.00",,,"30","25"
"HRE00105203","OSIJEK, HR","2015-01-09","0.00",,,"40","29"
"HRE00105203","OSIJEK, HR","2015-01-10","0.00",,,"58","38"
"HRE00105203","OSIJEK, HR","2015-01-11","0.01",,,"53","33"
"HRE00105203","OSIJEK, HR","2015-01-12","0.41",,,"47","32"
"HRE00105203","OSIJEK, HR","2015-01-13","0.00",,,"52","32"
"HRE00105203","OSIJEK, HR","2015-01-14","0.00",,,"52","32"
"HRE00105203","OSIJEK, HR","2015-01-15","0.01",,,"52","34"
"HRE00105203","OSIJEK, HR","2015-01-16","0.00",,,"57","34"
"HRE00105203","OSIJEK, HR","2015-01-17","0.00",,,"55","35"
"HRE00105203","OSIJEK, HR","2015-01-18","0.06",,,"47","43"
"HRE00105203","OSIJEK, HR","2015-01-19","0.69",,,"45","42"
"HRE00105203","OSIJEK, HR","2015-01-20","0.02",,,"44","42"
"HRE00105203","OSIJEK, HR","2015-01-21","0.03",,,"45","42"
"HRE00105203","OSIJEK, HR","2015-01-22","0.19",,,"46","43"
"HRE00105203","OSIJEK, HR","2015-01-23","0.00",,,"46","41"
"HRE00105203","OSIJEK, HR","2015-01-24","0.56",,,"45","33"
"HRE00105203","OSIJEK, HR","2015-01-25","0.18",,,"35","33"
"HRE00105203","OSIJEK, HR","2015-01-26","0.17",,,"36","32"
"HRE00105203","OSIJEK, HR","2015-01-27","0.01",,,"35","31"
"HRE00105203","OSIJEK, HR","2015-01-28","0.04",,,"39","31"
"HRE00105203","OSIJEK, HR","2015-01-29","0.00",,,"37","27"
"HRE00105203","OSIJEK, HR","2015-01-30","0.01",,,"48","36"
"HRE00105203","OSIJEK, HR","2015-01-31","0.37",,,"47","32"
"HRE00105203","OSIJEK, HR","2015-02-01","0.00",,,"38","31"
"HRE00105203","OSIJEK, HR","2015-02-02","0.19",,,"42","31"
"HRE00105203","OSIJEK, HR","2015-02-03","0.00",,,"41","25"
"HRE00105203","OSIJEK, HR","2015-02-04","0.00",,,"37","32"
"HRE00105203","OSIJEK, HR","2015-02-05","0.21",,,"40","35"
"HRE00105203","OSIJEK, HR","2015-02-06","0.11",,,"38","31"
"HRE00105203","OSIJEK, HR","2015-02-07","0.86",,,"34","27"
"HRE00105203","OSIJEK, HR","2015-02-08","0.00",,,"35","13"
"HRE00105203","OSIJEK, HR","2015-02-09","0.00",,,"34","16"
"HRE00105203","OSIJEK, HR","2015-02-10","0.06",,,"38","29"
"HRE00105203","OSIJEK, HR","2015-02-11","0.01",,,"41","34"
"HRE00105203","OSIJEK, HR","2015-02-12","0.00",,,"38","30"
"HRE00105203","OSIJEK, HR","2015-02-13","0.00",,,"44","26"
"HRE00105203","OSIJEK, HR","2015-02-14","0.00",,,"47","26"
"HRE00105203","OSIJEK, HR","2015-02-15","0.00",,,"49","29"
"HRE00105203","OSIJEK, HR","2015-02-16","0.00",,,"50","28"
"HRE00105203","OSIJEK, HR","2015-02-17","0.00",,,"40","29"
"HRE00105203","OSIJEK, HR","2015-02-18","0.00",,,"43","23"
"HRE00105203","OSIJEK, HR","2015-02-19","0.00",,,"45","24"
"HRE00105203","OSIJEK, HR","2015-02-20","0.00",,,"51","26"
"HRE00105203","OSIJEK, HR","2015-02-21","0.00",,,"56","30"
"HRE00105203","OSIJEK, HR","2015-02-22","0.00",,,"49","39"
"HRE00105203","OSIJEK, HR","2015-02-23","0.29",,,"49","43"
"HRE00105203","OSIJEK, HR","2015-02-24","0.00",,,"53","39"
"HRE00105203","OSIJEK, HR","2015-02-25","0.00",,,"47","42"
"HRE00105203","OSIJEK, HR","2015-02-26","0.25",,,"45","40"
"HRE00105203","OSIJEK, HR","2015-02-27","0.00",,,"47","39"
"HRE00105203","OSIJEK, HR","2015-02-28","0.27",,,"45","41"
"HRE00105203","OSIJEK, HR","2015-03-01","0.26",,,"51","38"
"HRE00105203","OSIJEK, HR","2015-03-02","0.00",,,"58","39"
"HRE00105203","OSIJEK, HR","2015-03-03","0.59",,,"54","37"
"HRE00105203","OSIJEK, HR","2015-03-04","0.01",,,"50","31"
"HRE00105203","OSIJEK, HR","2015-03-05","0.00",,,"44","39"
"HRE00105203","OSIJEK, HR","2015-03-06","0.00",,,"49","36"
"HRE00105203","OSIJEK, HR","2015-03-07","0.00",,,"47","30"
"HRE00105203","OSIJEK, HR","2015-03-08","0.00",,,"48","27"
"HRE00105203","OSIJEK, HR","2015-03-09","0.00",,,"52","30"
"HRE00105203","OSIJEK, HR","2015-03-10","0.00",,,"56","30"
"HRE00105203","OSIJEK, HR","2015-03-11","0.00",,,"56","37"
"HRE00105203","OSIJEK, HR","2015-03-12","0.02",,,"43","38"
"HRE00105203","OSIJEK, HR","2015-03-13","0.55",,,"41","37"
"HRE00105203","OSIJEK, HR","2015-03-14","0.03",,,"50","38"
"HRE00105203","OSIJEK, HR","2015-03-15","0.00",,,"56","36"
"HRE00105203","OSIJEK, HR","2015-03-16","0.00",,,"59","37"
"HRE00105203","OSIJEK, HR","2015-03-17","0.00",,,"58","41"
"HRE00105203","OSIJEK, HR","2015-03-18","0.00",,,"56","34"
"HRE00105203","OSIJEK, HR","2015-03-19","0.00",,,"53","32"
"HRE00105203","OSIJEK, HR","2015-03-20","0.00",,,"54","31"
"HRE00105203","OSIJEK, HR","2015-03-21","0.00",,,"62","31"
"HRE00105203","OSIJEK, HR","2015-03-22","0.00",,,"62","38"
"HRE00105203","OSIJEK, HR","2015-03-23","0.00",,,"58","37"
"HRE00105203","OSIJEK, HR","2015-03-24","0.00",,,"65","35"
"HRE00105203","OSIJEK, HR","2015-03-25","0.00",,,"60","44"
"HRE00105203","OSIJEK, HR","2015-03-26","0.01",,,"72","47"
