"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"CY000176090","LARNACA, CY","2015-01-01","0.20","58",,
"CY000176090","LARNACA, CY","2015-01-02","0.35","55","66",
"CY000176090","LARNACA, CY","2015-01-03","0.02","50","63","43"
"CY000176090","LARNACA, CY","2015-01-04","0.00","55","65","44"
"CY000176090","LARNACA, CY","2015-01-05","0.01","60",,"53"
"CY000176090","LARNACA, CY","2015-01-06","0.00","53","63",
"CY000176090","LARNACA, CY","2015-01-07","0.02","45","55",
"CY000176090","LARNACA, CY","2015-01-08","0.00","42","50",
"CY000176090","LARNACA, CY","2015-01-09","0.00","40",,
"CY000176090","LARNACA, CY","2015-01-10","0.01","43","51","31"
"CY000176090","LARNACA, CY","2015-01-11","0.00","48",,
"CY000176090","LARNACA, CY","2015-01-12","0.00","52",,"40"
"CY000176090","LARNACA, CY","2015-01-13","0.00","56",,"55"
"CY000176090","LARNACA, CY","2015-01-14","0.00","54","60",
"CY000176090","LARNACA, CY","2015-01-15","1.61","52","61",
"CY000176090","LARNACA, CY","2015-01-16","0.00","53","63","43"
"CY000176090","LARNACA, CY","2015-01-17","0.16","55",,
"CY000176090","LARNACA, CY","2015-01-18","0.00","55","65","46"
"CY000176090","LARNACA, CY","2015-01-19","0.00","55","65",
"CY000176090","LARNACA, CY","2015-01-20","0.00","55","67","47"
"CY000176090","LARNACA, CY","2015-01-21","0.00","56","66","46"
"CY000176090","LARNACA, CY","2015-01-22","0.02","56",,"48"
"CY000176090","LARNACA, CY","2015-01-23","0.01","59",,"52"
"CY000176090","LARNACA, CY","2015-01-24","0.00","58","67","51"
"CY000176090","LARNACA, CY","2015-01-25","0.01","58","68",
"CY000176090","LARNACA, CY","2015-01-26","0.00","55","69","43"
"CY000176090","LARNACA, CY","2015-01-27","0.00","54","63",
"CY000176090","LARNACA, CY","2015-01-28","0.02","56","67","47"
"CY000176090","LARNACA, CY","2015-01-29","0.00","55","65","47"
"CY000176090","LARNACA, CY","2015-01-30","0.39","54","61",
"CY000176090","LARNACA, CY","2015-01-31","0.05","57","67","48"
"CY000176090","LARNACA, CY","2015-02-01","0.00","56","67","46"
"CY000176090","LARNACA, CY","2015-02-02","0.01","57",,
"CY000176090","LARNACA, CY","2015-02-03","0.01","58",,"47"
"CY000176090","LARNACA, CY","2015-02-04","0.00","57","68","45"
"CY000176090","LARNACA, CY","2015-02-05","0.00","56",,"46"
"CY000176090","LARNACA, CY","2015-02-06","0.01","60","67","52"
"CY000176090","LARNACA, CY","2015-02-07","0.00","61","73","53"
"CY000176090","LARNACA, CY","2015-02-08","0.00","59",,"49"
"CY000176090","LARNACA, CY","2015-02-09","0.04","57",,
"CY000176090","LARNACA, CY","2015-02-10","0.00","55","65","46"
"CY000176090","LARNACA, CY","2015-02-11","0.75","50","58",
"CY000176090","LARNACA, CY","2015-02-12","0.39","51","60","43"
"CY000176090","LARNACA, CY","2015-02-13","0.21","49","57","44"
"CY000176090","LARNACA, CY","2015-02-14","0.04","50","59","41"
"CY000176090","LARNACA, CY","2015-02-15","0.01","52",,"44"
"CY000176090","LARNACA, CY","2015-02-16","0.04","52","63","43"
"CY000176090","LARNACA, CY","2015-02-17","0.02","52","62","44"
"CY000176090","LARNACA, CY","2015-02-18","0.00","51",,"44"
"CY000176090","LARNACA, CY","2015-02-19","0.00","42","51",
"CY000176090","LARNACA, CY","2015-02-20","0.00","47",,"33"
"CY000176090","LARNACA, CY","2015-02-21","0.00","49","61","38"
"CY000176090","LARNACA, CY","2015-02-22","0.00","52","62","39"
"CY000176090","LARNACA, CY","2015-02-23","0.00","55",,"49"
"CY000176090","LARNACA, CY","2015-02-24","0.12","57","62",
"CY000176090","LARNACA, CY","2015-02-25","0.13","56","67","47"
"CY000176090","LARNACA, CY","2015-02-26","0.00","59","67","52"
"CY000176090","LARNACA, CY","2015-02-27","0.00","60","70",
"CY000176090","LARNACA, CY","2015-02-28","0.00","60","71",
"CY000176090","LARNACA, CY","2015-03-01","0.02","56","68","44"
"CY000176090","LARNACA, CY","2015-03-02","0.51","56","69","45"
"CY000176090","LARNACA, CY","2015-03-03","0.01","56","67","45"
"CY000176090","LARNACA, CY","2015-03-04","0.00","58","70","47"
"CY000176090","LARNACA, CY","2015-03-05","0.00","56","67","44"
"CY000176090","LARNACA, CY","2015-03-06","0.00","60",,"50"
"CY000176090","LARNACA, CY","2015-03-07","0.00","63","71","54"
"CY000176090","LARNACA, CY","2015-03-08","0.00","63",,
"CY000176090","LARNACA, CY","2015-03-09","0.00","63","77",
"CY000176090","LARNACA, CY","2015-03-10","0.00","65","77","51"
"CY000176090","LARNACA, CY","2015-03-11","0.07","60","63",
"CY000176090","LARNACA, CY","2015-03-12","0.00","58",,"53"
"CY000176090","LARNACA, CY","2015-03-13","0.00","58",,"48"
"CY000176090","LARNACA, CY","2015-03-14","0.00","58",,"48"
"CY000176090","LARNACA, CY","2015-03-15","0.00","57","68","44"
"CY000176090","LARNACA, CY","2015-03-16","0.00","59",,"49"
"CY000176090","LARNACA, CY","2015-03-17","0.00","58",,
"CY000176090","LARNACA, CY","2015-03-18","0.00","58","68","47"
"CY000176090","LARNACA, CY","2015-03-19","0.00","59","68","50"
"CY000176090","LARNACA, CY","2015-03-20","0.00","57","65",
"CY000176090","LARNACA, CY","2015-03-21","0.01","56","63","49"
"CY000176090","LARNACA, CY","2015-03-22","0.00","57","68","48"
"CY000176090","LARNACA, CY","2015-03-23","0.00","56","65",
"CY000176090","LARNACA, CY","2015-03-24","0.00","60","69","49"
"CY000176090","LARNACA, CY","2015-03-25","0.00","60",,"50"
"CY000176090","LARNACA, CY","2015-03-26","0.00","62","72","52"
"CY000176090","LARNACA, CY","2015-03-27","0.00","66",,"55"
"CY000176090","LARNACA, CY","2015-03-28","0.00","63","69",
"CY000176090","LARNACA, CY","2015-03-29","0.21","61","71",
"CY000176090","LARNACA, CY","2015-03-30","0.22","60","69",
"CY000176090","LARNACA, CY","2015-03-31","0.05","59","69","46"
"CY000176090","LARNACA, CY","2015-04-01","0.00","60","69",
"CY000176090","LARNACA, CY","2015-04-02","0.01","60","69","49"
"CY000176090","LARNACA, CY","2015-04-03","0.00","60","70",
"CY000176090","LARNACA, CY","2015-04-04","0.01","61","75",
"CY000176090","LARNACA, CY","2015-04-05","0.00","60","71","47"
"CY000176090","LARNACA, CY","2015-04-06","0.00","60","68","51"
"CY000176090","LARNACA, CY","2015-04-07","0.00","63",,
"CY000176090","LARNACA, CY","2015-04-08","0.00","63","69","56"
"CY000176090","LARNACA, CY","2015-04-09","0.00","61",,
"CY000176090","LARNACA, CY","2015-04-10","0.09","56","65","47"
"CY000176090","LARNACA, CY","2015-04-11","0.09","56","65",
"CY000176090","LARNACA, CY","2015-04-12","0.00","58","68","47"
"CY000176090","LARNACA, CY","2015-04-13","0.00","60","70",
"CY000176090","LARNACA, CY","2015-04-14","0.00","59","69",
"CY000176090","LARNACA, CY","2015-04-15","0.00","64","74","47"
"CY000176090","LARNACA, CY","2015-04-16","0.00","67",,
"CY000176090","LARNACA, CY","2015-04-17","0.00","65","78",
"CY000176090","LARNACA, CY","2015-04-18","0.00","63","72","53"
"CY000176090","LARNACA, CY","2015-04-19","0.00","63","72",
"CY000176090","LARNACA, CY","2015-04-20","0.00","66",,"59"
"CY000176090","LARNACA, CY","2015-04-21","0.00","66","76","54"
"CY000176090","LARNACA, CY","2015-04-22","0.00","60",,
"CY000176090","LARNACA, CY","2015-04-23","0.06","54","65","45"
"CY000176090","LARNACA, CY","2015-04-24","0.20","59",,"45"
"CY000176090","LARNACA, CY","2015-04-25","0.00","60","69","47"
"CY000176090","LARNACA, CY","2015-04-26","0.00","65","74",
"CY000176090","LARNACA, CY","2015-04-27","0.00","69","79",
"CY000176090","LARNACA, CY","2015-04-28","0.00","72","84","60"
"CY000176090","LARNACA, CY","2015-04-29","0.00","72",,"59"
"CY000176090","LARNACA, CY","2015-04-30","0.00","68",,
"CY000176090","LARNACA, CY","2015-05-01","0.00","66","76",
"CY000176090","LARNACA, CY","2015-05-02","0.00","67","75","56"
"CY000176090","LARNACA, CY","2015-05-03","0.00","66",,
"CY000176090","LARNACA, CY","2015-05-04","0.00","65","73","55"
"CY000176090","LARNACA, CY","2015-05-05","0.00","70","78","59"
"CY000176090","LARNACA, CY","2015-05-06","0.00","73","84","60"
"CY000176090","LARNACA, CY","2015-05-07","0.00","74","83","64"
"CY000176090","LARNACA, CY","2015-05-08","0.00","72",,"61"
"CY000176090","LARNACA, CY","2015-05-09","0.00","70","80",
"CY000176090","LARNACA, CY","2015-05-10","0.00","70","79","62"
"CY000176090","LARNACA, CY","2015-05-11","0.01","69",,"60"
"CY000176090","LARNACA, CY","2015-05-12","0.00","70","79","61"
"CY000176090","LARNACA, CY","2015-05-13","0.00","68","79","58"
"CY000176090","LARNACA, CY","2015-05-14","0.00","69","80","59"
"CY000176090","LARNACA, CY","2015-05-15",,"69","79",
"CY000176090","LARNACA, CY","2015-05-16","0.00","70","80","57"
"CY000176090","LARNACA, CY","2015-05-17","0.00","72",,"59"
"CY000176090","LARNACA, CY","2015-05-18","0.00","81",,"65"
"CY000176090","LARNACA, CY","2015-05-19","0.00","83","92",
"CY000176090","LARNACA, CY","2015-05-20","0.00","79",,
"CY000176090","LARNACA, CY","2015-05-21","0.00","74","83",
"CY000176090","LARNACA, CY","2015-05-22","0.00","73",,
"CY000176090","LARNACA, CY","2015-05-23","0.00","72","81","63"
"CY000176090","LARNACA, CY","2015-05-24","0.00","72","84","63"
"CY000176090","LARNACA, CY","2015-05-25","0.00","73","93","62"
"CY000176090","LARNACA, CY","2015-05-26","0.00","73","84","61"
"CY000176090","LARNACA, CY","2015-05-27","0.00","73","79",
"CY000176090","LARNACA, CY","2015-05-28","0.00","74","84","64"
"CY000176090","LARNACA, CY","2015-05-29","0.00","72","80","65"
"CY000176090","LARNACA, CY","2015-05-30","0.01","70","78","61"
