DATE,PRCP,TAVG,TMAX,TMIN
2015-01-01,0.2,58,,
2015-01-02,0.35,55,66.0,
2015-01-03,0.02,50,63.0,43.0
2015-01-04,0.0,55,65.0,44.0
2015-01-05,0.01,60,,53.0
2015-01-06,0.0,53,63.0,
2015-01-07,0.02,45,55.0,
2015-01-08,0.0,42,50.0,
2015-01-09,0.0,40,,
2015-01-10,0.01,43,51.0,31.0
2015-01-11,0.0,48,,
2015-01-12,0.0,52,,40.0
2015-01-13,0.0,56,,55.0
2015-01-14,0.0,54,60.0,
2015-01-15,1.61,52,61.0,
2015-01-16,0.0,53,63.0,43.0
2015-01-17,0.16,55,,
2015-01-18,0.0,55,65.0,46.0
2015-01-19,0.0,55,65.0,
2015-01-20,0.0,55,67.0,47.0
2015-01-21,0.0,56,66.0,46.0
2015-01-22,0.02,56,,48.0
2015-01-23,0.01,59,,52.0
2015-01-24,0.0,58,67.0,51.0
2015-01-25,0.01,58,68.0,
2015-01-26,0.0,55,69.0,43.0
2015-01-27,0.0,54,63.0,
2015-01-28,0.02,56,67.0,47.0
2015-01-29,0.0,55,65.0,47.0
2015-01-30,0.39,54,61.0,
2015-01-31,0.05,57,67.0,48.0
2015-02-01,0.0,56,67.0,46.0
2015-02-02,0.01,57,,
2015-02-03,0.01,58,,47.0
2015-02-04,0.0,57,68.0,45.0
2015-02-05,0.0,56,,46.0
2015-02-06,0.01,60,67.0,52.0
2015-02-07,0.0,61,73.0,53.0
2015-02-08,0.0,59,,49.0
2015-02-09,0.04,57,,
2015-02-10,0.0,55,65.0,46.0
2015-02-11,0.75,50,58.0,
2015-02-12,0.39,51,60.0,43.0
2015-02-13,0.21,49,57.0,44.0
2015-02-14,0.04,50,59.0,41.0
2015-02-15,0.01,52,,44.0
2015-02-16,0.04,52,63.0,43.0
2015-02-17,0.02,52,62.0,44.0
2015-02-18,0.0,51,,44.0
2015-02-19,0.0,42,51.0,
2015-02-20,0.0,47,,33.0
2015-02-21,0.0,49,61.0,38.0
2015-02-22,0.0,52,62.0,39.0
2015-02-23,0.0,55,,49.0
2015-02-24,0.12,57,62.0,
2015-02-25,0.13,56,67.0,47.0
2015-02-26,0.0,59,67.0,52.0
2015-02-27,0.0,60,70.0,
2015-02-28,0.0,60,71.0,
2015-03-01,0.02,56,68.0,44.0
