"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"EZM00011406","CHEB, EZ","2015-01-01","0.02","1.6","33","36",
"EZM00011406","CHEB, EZ","2015-01-02","0.00",,"33",,"29"
"EZM00011406","CHEB, EZ","2015-01-03","0.03","1.6","33",,
"EZM00011406","CHEB, EZ","2015-01-04","0.13","2.8","33","34","32"
"EZM00011406","CHEB, EZ","2015-01-05","0.08","2.8","32","35",
"EZM00011406","CHEB, EZ","2015-01-06","0.00","2.8","26","30",
"EZM00011406","CHEB, EZ","2015-01-07","0.00","2.0","30","34","21"
"EZM00011406","CHEB, EZ","2015-01-08","0.01","1.2","35",,"30"
"EZM00011406","CHEB, EZ","2015-01-09","0.24",,"41","45","36"
"EZM00011406","CHEB, EZ","2015-01-10","0.25",,"49","54",
"EZM00011406","CHEB, EZ","2015-01-11","0.13",,"35",,
"EZM00011406","CHEB, EZ","2015-01-12","0.01",,"38",,"35"
"EZM00011406","CHEB, EZ","2015-01-13","0.00",,"42","49","34"
"EZM00011406","CHEB, EZ","2015-01-14","0.11",,"39",,
"EZM00011406","CHEB, EZ","2015-01-15","0.15",,"35","41","29"
"EZM00011406","CHEB, EZ","2015-01-16","0.00",,"35","40",
"EZM00011406","CHEB, EZ","2015-01-17","0.06",,"34","37","31"
"EZM00011406","CHEB, EZ","2015-01-18","0.09",,"32","36",
"EZM00011406","CHEB, EZ","2015-01-19","0.00",,"33","35","29"
"EZM00011406","CHEB, EZ","2015-01-20","0.00","1.6","31","32",
"EZM00011406","CHEB, EZ","2015-01-21","0.10","0.4","30","32",
"EZM00011406","CHEB, EZ","2015-01-22","0.00","0.4","32","35","30"
"EZM00011406","CHEB, EZ","2015-01-23","0.01","0.4","29",,
"EZM00011406","CHEB, EZ","2015-01-24","0.02","0.4","29","31","27"
"EZM00011406","CHEB, EZ","2015-01-25","0.02","0.4","32","35","29"
"EZM00011406","CHEB, EZ","2015-01-26","0.04","0.8","31","33",
"EZM00011406","CHEB, EZ","2015-01-27","0.17","2.4","32","35","30"
"EZM00011406","CHEB, EZ","2015-01-28","0.04","2.0","33","34","31"
"EZM00011406","CHEB, EZ","2015-01-29","0.08","2.4","32","34",
"EZM00011406","CHEB, EZ","2015-01-30","0.19","3.1","30","33",
"EZM00011406","CHEB, EZ","2015-01-31","0.04","4.3","28","33","24"
"EZM00011406","CHEB, EZ","2015-02-01","0.06","4.7","29","33",
"EZM00011406","CHEB, EZ","2015-02-02","0.05","4.3","30","34",
"EZM00011406","CHEB, EZ","2015-02-03","0.07","3.9","28","33",
"EZM00011406","CHEB, EZ","2015-02-04","0.00","3.1","24","29","15"
"EZM00011406","CHEB, EZ","2015-02-05","0.00","3.1","22","29",
"EZM00011406","CHEB, EZ","2015-02-06","0.00","3.1","24","32",
"EZM00011406","CHEB, EZ","2015-02-07","0.00","2.8","22","34","8"
"EZM00011406","CHEB, EZ","2015-02-08","0.01","3.1","29",,
"EZM00011406","CHEB, EZ","2015-02-09","0.01","2.4","31","36","22"
"EZM00011406","CHEB, EZ","2015-02-10","0.10","2.0","35","36",
"EZM00011406","CHEB, EZ","2015-02-11","0.02","1.6","32","37",
"EZM00011406","CHEB, EZ","2015-02-12","0.00","1.6","28","32",
"EZM00011406","CHEB, EZ","2015-02-13","0.00",,"28","34","26"
"EZM00011406","CHEB, EZ","2015-02-14","0.00",,"28","34","25"
"EZM00011406","CHEB, EZ","2015-02-15","0.00",,"33",,"27"
"EZM00011406","CHEB, EZ","2015-02-16","0.00",,"35","42",
"EZM00011406","CHEB, EZ","2015-02-17","0.00",,"31","39","26"
"EZM00011406","CHEB, EZ","2015-02-18","0.00",,"32","34","29"
"EZM00011406","CHEB, EZ","2015-02-19","0.00",,"27","29",
"EZM00011406","CHEB, EZ","2015-02-20","0.00",,"33","46","26"
"EZM00011406","CHEB, EZ","2015-02-21","0.00",,"35","47","23"
"EZM00011406","CHEB, EZ","2015-02-22","0.00",,"34","42",
"EZM00011406","CHEB, EZ","2015-02-23","0.00",,"31","39","23"
"EZM00011406","CHEB, EZ","2015-02-24","0.02",,"36","40",
"EZM00011406","CHEB, EZ","2015-02-25","0.00",,"33","43",
"EZM00011406","CHEB, EZ","2015-02-26","0.00",,"30","45",
"EZM00011406","CHEB, EZ","2015-02-27","0.00",,"33",,"21"
"EZM00011406","CHEB, EZ","2015-02-28","0.00","0.4","35","42",
"EZM00011406","CHEB, EZ","2015-03-01","0.00",,"36",,"30"
"EZM00011406","CHEB, EZ","2015-03-02","0.17",,"38","42",
"EZM00011406","CHEB, EZ","2015-03-03","0.04",,"37","45","31"
"EZM00011406","CHEB, EZ","2015-03-04","0.04",,"35","40","32"
"EZM00011406","CHEB, EZ","2015-03-05","0.02","0.4","35","40","32"
"EZM00011406","CHEB, EZ","2015-03-06","0.02","0.4","35","41","30"
"EZM00011406","CHEB, EZ","2015-03-07","0.00",,"38","50","28"
"EZM00011406","CHEB, EZ","2015-03-08","0.00",,"41","58","27"
"EZM00011406","CHEB, EZ","2015-03-09","0.00",,"42","59","29"
"EZM00011406","CHEB, EZ","2015-03-10","0.00",,"42","58","26"
"EZM00011406","CHEB, EZ","2015-03-11","0.07",,"37","43","33"
"EZM00011406","CHEB, EZ","2015-03-12","0.04",,"37",,
"EZM00011406","CHEB, EZ","2015-03-13","0.00",,"35",,"32"
"EZM00011406","CHEB, EZ","2015-03-14","0.00",,"35",,"32"
"EZM00011406","CHEB, EZ","2015-03-15","0.10",,"35",,"32"
"EZM00011406","CHEB, EZ","2015-03-16","0.00",,"44","54","36"
"EZM00011406","CHEB, EZ","2015-03-17","0.00",,"46",,"36"
"EZM00011406","CHEB, EZ","2015-03-18","0.00",,"45",,"34"
"EZM00011406","CHEB, EZ","2015-03-19","0.00",,"42","57","30"
"EZM00011406","CHEB, EZ","2015-03-20","0.00",,"40",,"27"
"EZM00011406","CHEB, EZ","2015-03-21","0.00",,"38","52","25"
"EZM00011406","CHEB, EZ","2015-03-22","0.00",,"38",,
"EZM00011406","CHEB, EZ","2015-03-23","0.00",,"38",,"25"
"EZM00011406","CHEB, EZ","2015-03-24","0.00",,"40",,"31"
"EZM00011406","CHEB, EZ","2015-03-25","0.00",,"47",,"31"
"EZM00011406","CHEB, EZ","2015-03-26","0.02",,"44",,
"EZM00011406","CHEB, EZ","2015-03-27","0.11",,"41",,"37"
"EZM00011406","CHEB, EZ","2015-03-28","0.02",,"43",,"38"
"EZM00011406","CHEB, EZ","2015-03-29","0.03",,"46",,"41"
"EZM00011406","CHEB, EZ","2015-03-30","0.41","0.4","40","47",
"EZM00011406","CHEB, EZ","2015-03-31","0.33","0.4","41","52","33"
"EZM00011406","CHEB, EZ","2015-04-01","0.57",,"36","44",
"EZM00011406","CHEB, EZ","2015-04-02","0.19","2.0","34","39","31"
"EZM00011406","CHEB, EZ","2015-04-03","0.11",,"36",,
"EZM00011406","CHEB, EZ","2015-04-04","0.00",,"34","46","26"
"EZM00011406","CHEB, EZ","2015-04-05","0.00",,"35","46","27"
"EZM00011406","CHEB, EZ","2015-04-06","0.00","0.4","34","43","28"
"EZM00011406","CHEB, EZ","2015-04-07","0.02",,"40",,"25"
"EZM00011406","CHEB, EZ","2015-04-08","0.00",,"43",,"34"
"EZM00011406","CHEB, EZ","2015-04-09","0.00",,"45","57",
"EZM00011406","CHEB, EZ","2015-04-10","0.00",,"48",,"32"
"EZM00011406","CHEB, EZ","2015-04-11","0.00",,"51","65","36"
"EZM00011406","CHEB, EZ","2015-04-12","0.01",,"51",,"42"
"EZM00011406","CHEB, EZ","2015-04-13","0.00",,"47",,
"EZM00011406","CHEB, EZ","2015-04-14","0.00",,"47",,"30"
"EZM00011406","CHEB, EZ","2015-04-15","0.00",,"60",,"48"
"EZM00011406","CHEB, EZ","2015-04-16","0.00",,"57",,"44"
"EZM00011406","CHEB, EZ","2015-04-17","0.00",,"45",,
"EZM00011406","CHEB, EZ","2015-04-18","0.00",,"39",,"31"
"EZM00011406","CHEB, EZ","2015-04-19","0.00",,"43",,"26"
"EZM00011406","CHEB, EZ","2015-04-20","0.00",,"48","61","31"
"EZM00011406","CHEB, EZ","2015-04-21","0.00",,"53",,"36"
"EZM00011406","CHEB, EZ","2015-04-22","0.00",,"42",,"35"
"EZM00011406","CHEB, EZ","2015-04-23","0.14",,"48",,"35"
"EZM00011406","CHEB, EZ","2015-04-24","0.00",,"52",,"38"
"EZM00011406","CHEB, EZ","2015-04-25","0.00",,"52",,"36"
"EZM00011406","CHEB, EZ","2015-04-26","0.02",,"57","67",
"EZM00011406","CHEB, EZ","2015-04-27","0.01",,"55",,"45"
"EZM00011406","CHEB, EZ","2015-04-28","0.47",,"41",,
"EZM00011406","CHEB, EZ","2015-04-29","0.17",,"45",,"30"
"EZM00011406","CHEB, EZ","2015-04-30","0.00",,"47","58","36"
"EZM00011406","CHEB, EZ","2015-05-01","0.13",,"46",,
"EZM00011406","CHEB, EZ","2015-05-02","0.02",,"50","60",
"EZM00011406","CHEB, EZ","2015-05-03","0.00",,"50",,"39"
"EZM00011406","CHEB, EZ","2015-05-04","0.24",,"62",,"54"
"EZM00011406","CHEB, EZ","2015-05-05","0.00",,"64","77","53"
"EZM00011406","CHEB, EZ","2015-05-06","0.12",,"58",,
"EZM00011406","CHEB, EZ","2015-05-07","0.00",,"52",,
"EZM00011406","CHEB, EZ","2015-05-08","0.00",,"54",,"37"
"EZM00011406","CHEB, EZ","2015-05-09","0.01",,"58",,"51"
"EZM00011406","CHEB, EZ","2015-05-10","0.17",,"54",,
"EZM00011406","CHEB, EZ","2015-05-11","0.00",,"56","70","38"
"EZM00011406","CHEB, EZ","2015-05-12","0.00",,"63",,"44"
"EZM00011406","CHEB, EZ","2015-05-13","0.19",,"58",,"48"
"EZM00011406","CHEB, EZ","2015-05-14","0.02",,"53",,
"EZM00011406","CHEB, EZ","2015-05-15","0.00",,"53","67","40"
"EZM00011406","CHEB, EZ","2015-05-16","0.00",,"56","69","37"
"EZM00011406","CHEB, EZ","2015-05-17","0.00",,"54",,
"EZM00011406","CHEB, EZ","2015-05-18","0.00",,"56",,"36"
"EZM00011406","CHEB, EZ","2015-05-19","0.00",,"57",,"45"
"EZM00011406","CHEB, EZ","2015-05-20","0.00",,"50",,
"EZM00011406","CHEB, EZ","2015-05-21","0.01",,"49",,
"EZM00011406","CHEB, EZ","2015-05-22","0.00",,"52",,"35"
"EZM00011406","CHEB, EZ","2015-05-23","0.00",,"55",,"38"
"EZM00011406","CHEB, EZ","2015-05-24","0.00",,"57",,"53"
"EZM00011406","CHEB, EZ","2015-05-25","0.00","0.4","55",,
"EZM00011406","CHEB, EZ","2015-05-26","0.28",,"50",,"46"
"EZM00011406","CHEB, EZ","2015-05-27","0.00",,"48",,
"EZM00011406","CHEB, EZ","2015-05-28","0.00",,"55",,"43"
"EZM00011406","CHEB, EZ","2015-05-29","0.02",,"58","67",
"EZM00011406","CHEB, EZ","2015-05-30","0.05",,"52",,
"EZM00011406","CHEB, EZ","2015-05-31","0.08",,"55",,"37"
"EZM00011406","CHEB, EZ","2015-06-01","0.00",,"60","75",
"EZM00011406","CHEB, EZ","2015-06-02","0.44",,"63",,"51"
"EZM00011406","CHEB, EZ","2015-06-03","0.00",,"68",,
"EZM00011406","CHEB, EZ","2015-06-04","0.00",,"63",,"47"
"EZM00011406","CHEB, EZ","2015-06-05","0.00",,"68",,"50"
"EZM00011406","CHEB, EZ","2015-06-06","0.00",,"73",,"54"
"EZM00011406","CHEB, EZ","2015-06-07","0.28",,"65",,
"EZM00011406","CHEB, EZ","2015-06-08","0.00","0.4","55",,
"EZM00011406","CHEB, EZ","2015-06-09","0.62",,"51",,"49"
"EZM00011406","CHEB, EZ","2015-06-10","0.00",,"58",,"49"
"EZM00011406","CHEB, EZ","2015-06-11","0.00",,"60",,"53"
"EZM00011406","CHEB, EZ","2015-06-12","0.00",,"70",,"56"
"EZM00011406","CHEB, EZ","2015-06-13","0.00",,"69","86","57"
"EZM00011406","CHEB, EZ","2015-06-14","0.00",,"68","81","54"
"EZM00011406","CHEB, EZ","2015-06-15","0.00",,"58","62",
"EZM00011406","CHEB, EZ","2015-06-16","0.00",,"55",,"42"
"EZM00011406","CHEB, EZ","2015-06-17","0.00",,"57",,"41"
"EZM00011406","CHEB, EZ","2015-06-18","0.09","0.4","56",,"51"
"EZM00011406","CHEB, EZ","2015-06-19","0.29",,"52","60",
"EZM00011406","CHEB, EZ","2015-06-20","0.07",,"51",,
"EZM00011406","CHEB, EZ","2015-06-21","0.03",,"52",,"44"
"EZM00011406","CHEB, EZ","2015-06-22","0.07","0.4","54",,
"EZM00011406","CHEB, EZ","2015-06-23","0.58",,"50",,
"EZM00011406","CHEB, EZ","2015-06-24","0.17",,"54",,"44"
"EZM00011406","CHEB, EZ","2015-06-25","0.00",,"58",,"39"
"EZM00011406","CHEB, EZ","2015-06-26","0.00",,"63",,"46"
"EZM00011406","CHEB, EZ","2015-06-27","0.00",,"62","67","58"
"EZM00011406","CHEB, EZ","2015-06-28","0.12",,"62",,"54"
"EZM00011406","CHEB, EZ","2015-06-29","0.02",,"65",,"53"
"EZM00011406","CHEB, EZ","2015-06-30","0.00",,"68",,"54"
"EZM00011406","CHEB, EZ","2015-07-01","0.00",,"71",,"54"
"EZM00011406","CHEB, EZ","2015-07-02","0.00",,"74",,"59"
"EZM00011406","CHEB, EZ","2015-07-03","0.00",,"77",,"60"
"EZM00011406","CHEB, EZ","2015-07-04","0.00",,"81",,"63"
"EZM00011406","CHEB, EZ","2015-07-05","0.00",,"81",,"65"
"EZM00011406","CHEB, EZ","2015-07-06","0.05",,"70",,
"EZM00011406","CHEB, EZ","2015-07-07","0.00",,"74",,"54"
"EZM00011406","CHEB, EZ","2015-07-08","0.38",,"65",,
"EZM00011406","CHEB, EZ","2015-07-09","0.01",,"58",,
"EZM00011406","CHEB, EZ","2015-07-10","0.05",,"58",,"48"
"EZM00011406","CHEB, EZ","2015-07-11","0.00",,"64",,"43"
"EZM00011406","CHEB, EZ","2015-07-12","0.00",,"67",,"50"
"EZM00011406","CHEB, EZ","2015-07-13","0.03",,"61",,"55"
"EZM00011406","CHEB, EZ","2015-07-14","0.05",,"63",,"59"
"EZM00011406","CHEB, EZ","2015-07-15","0.09",,"66",,
"EZM00011406","CHEB, EZ","2015-07-16","0.00",,"71","85","54"
"EZM00011406","CHEB, EZ","2015-07-17",,,"79",,
"EZM00011406","CHEB, EZ","2015-07-18","0.18",,"74",,
"EZM00011406","CHEB, EZ","2015-07-19","0.00",,"71",,"57"
"EZM00011406","CHEB, EZ","2015-07-20","0.01",,"69",,"60"
"EZM00011406","CHEB, EZ","2015-07-21","0.00",,"76",,"64"
"EZM00011406","CHEB, EZ","2015-07-22","0.00","0.4","76",,"59"
"EZM00011406","CHEB, EZ","2015-07-23","0.52",,"67",,"63"
"EZM00011406","CHEB, EZ","2015-07-24","0.00",,"70",,"57"
"EZM00011406","CHEB, EZ","2015-07-25","0.62",,"67",,
"EZM00011406","CHEB, EZ","2015-07-26","0.00",,"61",,"51"
"EZM00011406","CHEB, EZ","2015-07-27","0.01",,"60",,"56"
"EZM00011406","CHEB, EZ","2015-07-28","0.17",,"61",,"54"
"EZM00011406","CHEB, EZ","2015-07-29","0.01",,"56",,
"EZM00011406","CHEB, EZ","2015-07-30","0.00",,"58",,
"EZM00011406","CHEB, EZ","2015-07-31","0.00",,"58",,"44"
"EZM00011406","CHEB, EZ","2015-08-01","0.00",,"64","76","53"
"EZM00011406","CHEB, EZ","2015-08-02",,,"69","83",
"EZM00011406","CHEB, EZ","2015-08-03","0.00",,"70",,"53"
"EZM00011406","CHEB, EZ","2015-08-04","0.00",,"73",,"55"
"EZM00011406","CHEB, EZ","2015-08-05","0.00",,"72",,"60"
"EZM00011406","CHEB, EZ","2015-08-06","0.00",,"77",,"59"
"EZM00011406","CHEB, EZ","2015-08-07","0.00",,"81",,"62"
"EZM00011406","CHEB, EZ","2015-08-08","0.00",,"79",,"65"
"EZM00011406","CHEB, EZ","2015-08-09",,,"76",,
"EZM00011406","CHEB, EZ","2015-08-10","0.00",,"80",,"64"
"EZM00011406","CHEB, EZ","2015-08-11","0.00",,"76",,"59"
"EZM00011406","CHEB, EZ","2015-08-12","0.00",,"76",,"62"
"EZM00011406","CHEB, EZ","2015-08-13","0.00",,"79","94","62"
"EZM00011406","CHEB, EZ","2015-08-14","0.00",,"77",,
"EZM00011406","CHEB, EZ","2015-08-15","0.27",,"70",,"62"
"EZM00011406","CHEB, EZ","2015-08-16","0.55",,"64","69","62"
"EZM00011406","CHEB, EZ","2015-08-17","1.22",,"59",,
"EZM00011406","CHEB, EZ","2015-08-18","0.46",,"58","63","55"
"EZM00011406","CHEB, EZ","2015-08-19","0.00",,"57",,"52"
"EZM00011406","CHEB, EZ","2015-08-20","0.00",,"59",,"55"
"EZM00011406","CHEB, EZ","2015-08-21","0.01",,"62","75","50"
"EZM00011406","CHEB, EZ","2015-08-22","0.00",,"62",,"47"
"EZM00011406","CHEB, EZ","2015-08-23","0.00",,"63",,"49"
"EZM00011406","CHEB, EZ","2015-08-24","0.07",,"67","79","58"
"EZM00011406","CHEB, EZ","2015-08-25","0.37",,"59",,
"EZM00011406","CHEB, EZ","2015-08-26","0.00",,"61","77","44"
"EZM00011406","CHEB, EZ","2015-08-27","0.00",,"68",,"49"
"EZM00011406","CHEB, EZ","2015-08-28","0.00",,"69",,
"EZM00011406","CHEB, EZ","2015-08-29","0.06",,"72",,"60"
"EZM00011406","CHEB, EZ","2015-08-30","0.00",,"77",,
"EZM00011406","CHEB, EZ","2015-08-31","0.00",,"76","93","62"
"EZM00011406","CHEB, EZ","2015-09-01","0.00",,"68",,
"EZM00011406","CHEB, EZ","2015-09-02","0.29",,"58",,
"EZM00011406","CHEB, EZ","2015-09-03","0.00",,"55",,"49"
"EZM00011406","CHEB, EZ","2015-09-04","0.09",,"56",,
"EZM00011406","CHEB, EZ","2015-09-05","0.00",,"52",,"44"
"EZM00011406","CHEB, EZ","2015-09-06","0.21",,"49",,"45"
"EZM00011406","CHEB, EZ","2015-09-07","0.01",,"50",,
"EZM00011406","CHEB, EZ","2015-09-08","0.07",,"50",,"39"
"EZM00011406","CHEB, EZ","2015-09-09","0.00",,"52",,
"EZM00011406","CHEB, EZ","2015-09-10","0.00",,"50",,"40"
"EZM00011406","CHEB, EZ","2015-09-11","0.01",,"51",,"42"
"EZM00011406","CHEB, EZ","2015-09-12","0.00",,"58",,"45"
"EZM00011406","CHEB, EZ","2015-09-13",,,"63",,
"EZM00011406","CHEB, EZ","2015-09-14","0.00",,"58",,
"EZM00011406","CHEB, EZ","2015-09-15","0.38",,"57",,"52"
"EZM00011406","CHEB, EZ","2015-09-16","0.00",,"61",,"48"
"EZM00011406","CHEB, EZ","2015-09-17","0.00",,"61",,
"EZM00011406","CHEB, EZ","2015-09-18",,,"56",,
"EZM00011406","CHEB, EZ","2015-09-19","0.00",,"54",,"47"
"EZM00011406","CHEB, EZ","2015-09-20","0.17",,"51",,"45"
"EZM00011406","CHEB, EZ","2015-09-21","0.07",,"52",,
"EZM00011406","CHEB, EZ","2015-09-22","0.00",,"51",,"42"
"EZM00011406","CHEB, EZ","2015-09-23","0.12",,"51",,
"EZM00011406","CHEB, EZ","2015-09-24","0.02",,"51",,"45"
"EZM00011406","CHEB, EZ","2015-09-25","0.00",,"51",,"38"
"EZM00011406","CHEB, EZ","2015-09-26","0.00",,"52","59",
"EZM00011406","CHEB, EZ","2015-09-27",,,"49",,
"EZM00011406","CHEB, EZ","2015-09-28","0.00",,"50",,
"EZM00011406","CHEB, EZ","2015-09-29","0.00",,"47","59",
"EZM00011406","CHEB, EZ","2015-09-30","0.00",,"46","56","37"
"EZM00011406","CHEB, EZ","2015-10-01",,,"46","58",
"EZM00011406","CHEB, EZ","2015-10-02","0.00",,"49",,"36"
"EZM00011406","CHEB, EZ","2015-10-03","0.00",,"54",,"43"
"EZM00011406","CHEB, EZ","2015-10-04",,,"50",,
"EZM00011406","CHEB, EZ","2015-10-05","0.02",,"52",,
"EZM00011406","CHEB, EZ","2015-10-06","0.03",,"53",,"45"
"EZM00011406","CHEB, EZ","2015-10-07","0.15",,"56",,
"EZM00011406","CHEB, EZ","2015-10-08","0.08",,"53","57",
"EZM00011406","CHEB, EZ","2015-10-09","0.07",,"52",,
"EZM00011406","CHEB, EZ","2015-10-10","0.13",,"47",,
"EZM00011406","CHEB, EZ","2015-10-11","0.00",,"41",,
"EZM00011406","CHEB, EZ","2015-10-12","0.00",,"37",,"26"
"EZM00011406","CHEB, EZ","2015-10-13","0.00",,"34",,"30"
"EZM00011406","CHEB, EZ","2015-10-14","0.58",,"35",,"32"
"EZM00011406","CHEB, EZ","2015-10-15","0.32",,"38",,"35"
"EZM00011406","CHEB, EZ","2015-10-16","0.07",,"40",,"39"
"EZM00011406","CHEB, EZ","2015-10-17","0.07",,"41","44","39"
"EZM00011406","CHEB, EZ","2015-10-18","0.00",,"41",,"39"
"EZM00011406","CHEB, EZ","2015-10-19","0.01",,"40","47",
"EZM00011406","CHEB, EZ","2015-10-20","0.00",,"39","45","31"
"EZM00011406","CHEB, EZ","2015-10-21","0.06",,"44","50","42"
"EZM00011406","CHEB, EZ","2015-10-22","0.00",,"45","52","39"
"EZM00011406","CHEB, EZ","2015-10-23","0.00",,"46",,
"EZM00011406","CHEB, EZ","2015-10-24","0.00",,"42",,"33"
"EZM00011406","CHEB, EZ","2015-10-25","0.00",,"47",,"44"
"EZM00011406","CHEB, EZ","2015-10-26","0.00",,"47",,"42"
"EZM00011406","CHEB, EZ","2015-10-27","0.00",,"46",,
"EZM00011406","CHEB, EZ","2015-10-28","0.00",,"42",,
"EZM00011406","CHEB, EZ","2015-10-29","0.00",,"42",,"37"
"EZM00011406","CHEB, EZ","2015-10-30","0.00",,"45","52",
"EZM00011406","CHEB, EZ","2015-10-31","0.00",,"47",,"40"
"EZM00011406","CHEB, EZ","2015-11-01","0.00",,"43",,
"EZM00011406","CHEB, EZ","2015-11-02","0.00",,"37",,"27"
"EZM00011406","CHEB, EZ","2015-11-03","0.00",,"36",,"24"
"EZM00011406","CHEB, EZ","2015-11-04","0.00",,"40",,"28"
"EZM00011406","CHEB, EZ","2015-11-05","0.00",,"48",,
"EZM00011406","CHEB, EZ","2015-11-06","0.00",,"47",,"36"
"EZM00011406","CHEB, EZ","2015-11-07","0.07",,"55",,"49"
"EZM00011406","CHEB, EZ","2015-11-08","0.00",,"55","63",
"EZM00011406","CHEB, EZ","2015-11-09","0.00",,"55",,"47"
"EZM00011406","CHEB, EZ","2015-11-10","0.09",,"54","56","52"
"EZM00011406","CHEB, EZ","2015-11-11","0.00",,"51",,
"EZM00011406","CHEB, EZ","2015-11-12","0.00",,"47","51","41"
"EZM00011406","CHEB, EZ","2015-11-13","0.00",,"46",,"39"
"EZM00011406","CHEB, EZ","2015-11-14","0.07",,"43","47",
"EZM00011406","CHEB, EZ","2015-11-15","0.20",,"47","51","40"
"EZM00011406","CHEB, EZ","2015-11-16","0.25",,"49","56","45"
"EZM00011406","CHEB, EZ","2015-11-17","0.00",,"49",,"44"
"EZM00011406","CHEB, EZ","2015-11-18","0.15",,"52",,
"EZM00011406","CHEB, EZ","2015-11-19","0.00",,"50","54",
"EZM00011406","CHEB, EZ","2015-11-20","0.97",,"41",,
"EZM00011406","CHEB, EZ","2015-11-21","0.37",,"34","38",
"EZM00011406","CHEB, EZ","2015-11-22","0.02",,"31",,
"EZM00011406","CHEB, EZ","2015-11-23","0.19",,"30",,"28"
"EZM00011406","CHEB, EZ","2015-11-24","0.02","2.8","29",,"21"
"EZM00011406","CHEB, EZ","2015-11-25","0.00",,"32",,"28"
"EZM00011406","CHEB, EZ","2015-11-26","0.02",,"34",,"32"
"EZM00011406","CHEB, EZ","2015-11-27","0.05",,"29",,
"EZM00011406","CHEB, EZ","2015-11-28","0.00","0.8","31","35","22"
"EZM00011406","CHEB, EZ","2015-11-29","0.13","0.8","37",,"32"
"EZM00011406","CHEB, EZ","2015-11-30","0.46",,"44","46",
"EZM00011406","CHEB, EZ","2015-12-01","0.33",,"45","47",
"EZM00011406","CHEB, EZ","2015-12-02","0.71",,"46",,"43"
"EZM00011406","CHEB, EZ","2015-12-03","0.00",,"42","44",
"EZM00011406","CHEB, EZ","2015-12-04","0.00",,"37",,"32"
"EZM00011406","CHEB, EZ","2015-12-05","0.01",,"41",,"37"
"EZM00011406","CHEB, EZ","2015-12-06","0.00",,"42",,
"EZM00011406","CHEB, EZ","2015-12-07","0.00",,"40",,
"EZM00011406","CHEB, EZ","2015-12-08","0.01",,"34",,
"EZM00011406","CHEB, EZ","2015-12-09","0.00",,"36",,"32"
"EZM00011406","CHEB, EZ","2015-12-10","0.15",,"33","35","30"
"EZM00011406","CHEB, EZ","2015-12-11","0.00",,"35",,
"EZM00011406","CHEB, EZ","2015-12-12","0.17",,"40","42","37"
"EZM00011406","CHEB, EZ","2015-12-13","0.01",,"41","45",
"EZM00011406","CHEB, EZ","2015-12-14","0.06",,"36",,"33"
"EZM00011406","CHEB, EZ","2015-12-15","0.00",,"39",,"37"
"EZM00011406","CHEB, EZ","2015-12-16","0.00",,"41",,"37"
"EZM00011406","CHEB, EZ","2015-12-17","0.04",,"47","51","42"
"EZM00011406","CHEB, EZ","2015-12-18","0.02",,"47",,
"EZM00011406","CHEB, EZ","2015-12-19","0.06",,"45",,
