DATE,PRCP,SNWD,TAVG,TMAX,TMIN
2015-01-01,0.03,,42.5,,38.0
2015-01-02,0.16,,44.0,50.0,40.0
2015-01-03,0.15,,41.0,,
2015-01-04,0.0,,39.5,42.0,37.0
2015-01-05,0.45,,37.5,41.0,34.0
2015-01-06,0.02,,37.5,,
2015-01-07,0.08,,39.0,,37.0
2015-01-08,0.08,,42.0,,
2015-01-09,0.09,,41.5,,
2015-01-10,0.71,,43.0,,38.0
2015-01-11,0.37,,41.0,44.0,
2015-01-12,0.13,,43.5,46.0,39.0
2015-01-13,0.2,,41.5,45.0,37.0
2015-01-14,0.26,,39.0,40.0,35.0
2015-01-15,0.02,,40.5,,36.0
2015-01-16,0.27,,42.5,45.0,
2015-01-17,0.05,,39.0,42.0,
2015-01-18,0.1,,37.5,,
2015-01-19,0.0,,35.5,,33.0
2015-01-20,0.11,,35.5,36.0,33.0
2015-01-21,0.31,0.4,34.5,36.0,31.0
2015-01-22,0.05,0.4,32.5,35.0,32.0
2015-01-23,0.0,,30.5,,27.0
2015-01-24,0.02,0.8,33.0,,
2015-01-25,0.0,1.2,35.5,40.0,27.0
2015-01-26,0.04,0.8,38.0,42.0,33.0
2015-01-27,0.23,,38.0,,35.0
2015-01-28,0.01,,39.5,,
2015-01-29,0.35,0.8,36.0,40.0,
2015-01-30,0.02,0.4,34.0,,
2015-01-31,0.0,,33.5,36.0,
2015-02-01,0.01,,35.0,36.0,
2015-02-02,0.36,,32.0,34.0,28.0
2015-02-03,0.06,,28.5,,
2015-02-04,0.0,,28.0,,12.0
2015-02-05,0.0,,32.0,,
2015-02-06,0.0,,34.0,,25.0
2015-02-07,0.01,,39.5,,35.0
2015-02-08,0.0,,37.5,,35.0
2015-02-09,0.02,,41.5,,39.0
2015-02-10,0.0,,41.0,,38.0
2015-02-11,0.0,,38.5,43.0,
2015-02-12,0.0,,36.5,,
2015-02-13,0.02,,35.0,40.0,
2015-02-14,0.0,,34.5,36.0,
2015-02-15,0.0,,37.0,,33.0
2015-02-16,0.01,,35.5,38.0,
2015-02-17,0.0,,36.5,,35.0
2015-02-18,0.01,,40.5,,
2015-02-19,0.07,,41.0,44.0,
2015-02-20,0.03,,39.0,43.0,
