"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"HUM00012982","SZEGED AUT, HU","2015-01-01",,"2.8","20","24","7"
"HUM00012982","SZEGED AUT, HU","2015-01-02",,"2.0","27",,"22"
"HUM00012982","SZEGED AUT, HU","2015-01-03","0.03","0.4","35","43","25"
"HUM00012982","SZEGED AUT, HU","2015-01-04","0.01","0.4","36","42",
"HUM00012982","SZEGED AUT, HU","2015-01-05","0.00","0.4","35",,
"HUM00012982","SZEGED AUT, HU","2015-01-06","0.03",,"30",,
"HUM00012982","SZEGED AUT, HU","2015-01-07","0.00",,"20","24","15"
"HUM00012982","SZEGED AUT, HU","2015-01-08",,,"24",,"17"
"HUM00012982","SZEGED AUT, HU","2015-01-09",,,"36",,"24"
"HUM00012982","SZEGED AUT, HU","2015-01-10","0.01",,"42","51",
"HUM00012982","SZEGED AUT, HU","2015-01-11","0.07",,"39","45","34"
"HUM00012982","SZEGED AUT, HU","2015-01-12","0.11",,"38","47",
"HUM00012982","SZEGED AUT, HU","2015-01-13","0.00",,"36","47","28"
"HUM00012982","SZEGED AUT, HU","2015-01-14",,,"37","49","27"
"HUM00012982","SZEGED AUT, HU","2015-01-15",,,"39",,"34"
"HUM00012982","SZEGED AUT, HU","2015-01-16",,,"40",,"33"
"HUM00012982","SZEGED AUT, HU","2015-01-17",,,"43","49",
"HUM00012982","SZEGED AUT, HU","2015-01-18","0.03",,"44","47",
"HUM00012982","SZEGED AUT, HU","2015-01-19","0.44",,"43",,
"HUM00012982","SZEGED AUT, HU","2015-01-20","0.07",,"42","43",
"HUM00012982","SZEGED AUT, HU","2015-01-21","0.02",,"42","43",
"HUM00012982","SZEGED AUT, HU","2015-01-22","0.22",,"44","47",
"HUM00012982","SZEGED AUT, HU","2015-01-23","0.03",,"43",,"41"
"HUM00012982","SZEGED AUT, HU","2015-01-24","0.75",,"40",,
"HUM00012982","SZEGED AUT, HU","2015-01-25","0.14",,"36",,
"HUM00012982","SZEGED AUT, HU","2015-01-26","0.05",,"36","40",
"HUM00012982","SZEGED AUT, HU","2015-01-27","0.00",,"32","34",
"HUM00012982","SZEGED AUT, HU","2015-01-28","0.01",,"32","40",
"HUM00012982","SZEGED AUT, HU","2015-01-29","0.00",,"33",,"27"
"HUM00012982","SZEGED AUT, HU","2015-01-30","0.01",,"42",,"33"
"HUM00012982","SZEGED AUT, HU","2015-01-31","0.24",,"36","45",
"HUM00012982","SZEGED AUT, HU","2015-02-01","0.00",,"32",,"28"
"HUM00012982","SZEGED AUT, HU","2015-02-02","0.01","0.4","34","40",
"HUM00012982","SZEGED AUT, HU","2015-02-03","0.01",,"35","43","25"
"HUM00012982","SZEGED AUT, HU","2015-02-04","0.00",,"35",,"32"
"HUM00012982","SZEGED AUT, HU","2015-02-05","0.10",,"36","40","34"
"HUM00012982","SZEGED AUT, HU","2015-02-06","0.01","0.4","33",,
"HUM00012982","SZEGED AUT, HU","2015-02-07","0.03","0.4","30","33",
"HUM00012982","SZEGED AUT, HU","2015-02-08","0.00","0.8","30","38","23"
"HUM00012982","SZEGED AUT, HU","2015-02-09","0.02","0.8","28","32","19"
"HUM00012982","SZEGED AUT, HU","2015-02-10","0.03","1.6","33","36","29"
"HUM00012982","SZEGED AUT, HU","2015-02-11","0.00",,"38",,
"HUM00012982","SZEGED AUT, HU","2015-02-12","0.00",,"33",,"25"
"HUM00012982","SZEGED AUT, HU","2015-02-13",,,"34","46","24"
"HUM00012982","SZEGED AUT, HU","2015-02-14",,,"36","49","26"
"HUM00012982","SZEGED AUT, HU","2015-02-15",,,"38",,"28"
"HUM00012982","SZEGED AUT, HU","2015-02-16",,,"36","49","25"
"HUM00012982","SZEGED AUT, HU","2015-02-17",,,"33","40",
"HUM00012982","SZEGED AUT, HU","2015-02-18",,,"31","44","19"
"HUM00012982","SZEGED AUT, HU","2015-02-19",,,"31",,
"HUM00012982","SZEGED AUT, HU","2015-02-20",,,"34","47","24"
"HUM00012982","SZEGED AUT, HU","2015-02-21",,,"40","54","26"
"HUM00012982","SZEGED AUT, HU","2015-02-22",,,"45","55","37"
"HUM00012982","SZEGED AUT, HU","2015-02-23","0.11",,"45","53",
"HUM00012982","SZEGED AUT, HU","2015-02-24","0.02",,"46","58",
"HUM00012982","SZEGED AUT, HU","2015-02-25","0.00",,"45","49","38"
"HUM00012982","SZEGED AUT, HU","2015-02-26","0.27",,"43","45",
"HUM00012982","SZEGED AUT, HU","2015-02-27","0.00",,"44",,
"HUM00012982","SZEGED AUT, HU","2015-02-28","0.07",,"44","47",
"HUM00012982","SZEGED AUT, HU","2015-03-01","0.02",,"43",,
"HUM00012982","SZEGED AUT, HU","2015-03-02","0.00",,"47","58","37"
"HUM00012982","SZEGED AUT, HU","2015-03-03","0.45",,"42","48",
"HUM00012982","SZEGED AUT, HU","2015-03-04","0.00",,"41",,"28"
"HUM00012982","SZEGED AUT, HU","2015-03-05",,,"40",,"37"
"HUM00012982","SZEGED AUT, HU","2015-03-06",,,"40","49",
"HUM00012982","SZEGED AUT, HU","2015-03-07",,,"38","50",
"HUM00012982","SZEGED AUT, HU","2015-03-08",,,"37","51","24"
"HUM00012982","SZEGED AUT, HU","2015-03-09",,,"40","54","27"
"HUM00012982","SZEGED AUT, HU","2015-03-10",,,"44",,"28"
"HUM00012982","SZEGED AUT, HU","2015-03-11",,,"47",,"34"
"HUM00012982","SZEGED AUT, HU","2015-03-12","0.06",,"42",,
