"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"EN000026229","AINAZI, EN","2015-01-01",,,"38",,"37"
"EN000026229","AINAZI, EN","2015-01-02",,,"40",,
"EN000026229","AINAZI, EN","2015-01-03",,,"38",,
"EN000026229","AINAZI, EN","2015-01-04",,,"34",,
"EN000026229","AINAZI, EN","2015-01-05",,,"23",,
"EN000026229","AINAZI, EN","2015-01-06",,,"12",,
"EN000026229","AINAZI, EN","2015-01-07",,,"17",,"8"
"EN000026229","AINAZI, EN","2015-01-08",,,"29",,"19"
"EN000026229","AINAZI, EN","2015-01-09",,,"35",,"33"
"EN000026229","AINAZI, EN","2015-01-10",,,"33",,
"EN000026229","AINAZI, EN","2015-01-11",,,"33",,
"EN000026229","AINAZI, EN","2015-01-12",,,"29",,"22"
"EN000026229","AINAZI, EN","2015-01-13",,,"39",,"29"
"EN000026229","AINAZI, EN","2015-01-14",,,"37",,
"EN000026229","AINAZI, EN","2015-01-15",,,"35",,
"EN000026229","AINAZI, EN","2015-01-16",,,"36",,"32"
"EN000026229","AINAZI, EN","2015-01-17",,,"37","38",
"EN000026229","AINAZI, EN","2015-01-18",,,"36","37",
"EN000026229","AINAZI, EN","2015-01-19",,,"32",,
"EN000026229","AINAZI, EN","2015-01-20",,,"27",,"23"
"EN000026229","AINAZI, EN","2015-01-21",,,"27",,"25"
"EN000026229","AINAZI, EN","2015-01-22",,,"27",,
"EN000026229","AINAZI, EN","2015-01-23",,,"31",,"27"
"EN000026229","AINAZI, EN","2015-01-24",,,"30",,
"EN000026229","AINAZI, EN","2015-01-25",,,"27",,"24"
"EN000026229","AINAZI, EN","2015-01-26",,,"28",,"18"
"EN000026229","AINAZI, EN","2015-01-27",,,"31",,
"EN000026229","AINAZI, EN","2015-01-28",,,"32",,"27"
"EN000026229","AINAZI, EN","2015-01-29",,,"33",,"30"
"EN000026229","AINAZI, EN","2015-01-30",,,"33","35","30"
"EN000026229","AINAZI, EN","2015-01-31",,,"36",,"34"
"EN000026229","AINAZI, EN","2015-02-01",,,"34",,"32"
"EN000026229","AINAZI, EN","2015-02-02",,,"33",,
"EN000026229","AINAZI, EN","2015-02-03",,,"29",,
"EN000026229","AINAZI, EN","2015-02-04",,,"27",,"22"
