"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"LH000026737","VARENA, LH","2019-10-01","0.09",,"53",,
"LH000026737","VARENA, LH","2019-10-02","0.28",,"55",,
"LH000026737","VARENA, LH","2019-10-03","0.04",,"47",,
"LH000026737","VARENA, LH","2019-10-04","0.08",,"44",,
"LH000026737","VARENA, LH","2019-10-05","0.00",,"41",,
"LH000026737","VARENA, LH","2019-10-06","0.00",,"34",,
"LH000026737","VARENA, LH","2019-10-07","0.06",,"36",,
"LH000026737","VARENA, LH","2019-10-08","0.08",,"40",,
"LH000026737","VARENA, LH","2019-10-09","0.01",,"49",,
"LH000026737","VARENA, LH","2019-10-10","0.61",,"49",,
"LH000026737","VARENA, LH","2019-10-11","0.08",,"50",,
"LH000026737","VARENA, LH","2019-10-12","0.23",,"54",,
"LH000026737","VARENA, LH","2019-10-13","0.09",,"53",,
"LH000026737","VARENA, LH","2019-10-14","0.00",,"58",,
"LH000026737","VARENA, LH","2019-10-15","0.00",,"54",,
"LH000026737","VARENA, LH","2019-10-16","0.00",,"62",,
"LH000026737","VARENA, LH","2019-10-17","0.00",,"55",,
"LH000026737","VARENA, LH","2019-10-18","0.00",,"56",,
"LH000026737","VARENA, LH","2019-10-19","0.00",,"53",,
"LH000026737","VARENA, LH","2019-10-20","0.00",,"52",,
"LH000026737","VARENA, LH","2019-10-21","0.00",,"53",,
"LH000026737","VARENA, LH","2019-10-22","0.00",,"56",,
"LH000026737","VARENA, LH","2019-10-23","0.00",,"46",,
"LH000026737","VARENA, LH","2019-10-24","0.00",,"46",,
"LH000026737","VARENA, LH","2019-10-25","0.00",,"50",,
"LH000026737","VARENA, LH","2019-10-26","0.00",,"55",,
"LH000026737","VARENA, LH","2019-10-27","0.00",,"52",,
"LH000026737","VARENA, LH","2019-10-28","0.04",,"43",,
"LH000026737","VARENA, LH","2019-10-29","0.01",,"39",,
"LH000026737","VARENA, LH","2019-10-30","0.00",,"32",,
"LH000026737","VARENA, LH","2019-10-31","0.10",,"31",,
