"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"LU000006590","LUXEMBOURG AIRPORT, LU","2015-01-01","0.00","2.8","29","32","27"
"LU000006590","LUXEMBOURG AIRPORT, LU","2015-01-02","0.08",,"33","37","27"
"LU000006590","LUXEMBOURG AIRPORT, LU","2015-01-03","0.29",,"35","48","32"
"LU000006590","LUXEMBOURG AIRPORT, LU","2015-01-04","0.00",,"35","40","30"
"LU000006590","LUXEMBOURG AIRPORT, LU","2015-01-05","0.00",,"28","35","22"
"LU000006590","LUXEMBOURG AIRPORT, LU","2015-01-06","0.02",,"25","31","20"
"LU000006590","LUXEMBOURG AIRPORT, LU","2015-01-07","0.00",,"32","33","31"
"LU000006590","LUXEMBOURG AIRPORT, LU","2015-01-08","0.18",,"41","46","33"
"LU000006590","LUXEMBOURG AIRPORT, LU","2015-01-09","0.09",,"46","53","41"
"LU000006590","LUXEMBOURG AIRPORT, LU","2015-01-10","0.09",,"51","55","39"
"LU000006590","LUXEMBOURG AIRPORT, LU","2015-01-11","0.01",,"38","40","34"
"LU000006590","LUXEMBOURG AIRPORT, LU","2015-01-12","0.00",,"40","42","38"
"LU000006590","LUXEMBOURG AIRPORT, LU","2015-01-13","0.38",,"44","52","40"
"LU000006590","LUXEMBOURG AIRPORT, LU","2015-01-14","0.15",,"38","45","34"
"LU000006590","LUXEMBOURG AIRPORT, LU","2015-01-15","0.11",,"44","47","38"
"LU000006590","LUXEMBOURG AIRPORT, LU","2015-01-16","0.15",,"38","42","35"
"LU000006590","LUXEMBOURG AIRPORT, LU","2015-01-17","0.00",,"35","39","28"
"LU000006590","LUXEMBOURG AIRPORT, LU","2015-01-18","0.00",,"31","35","26"
"LU000006590","LUXEMBOURG AIRPORT, LU","2015-01-19","0.00",,"27","28","26"
"LU000006590","LUXEMBOURG AIRPORT, LU","2015-01-20","0.00",,"30","34","27"
"LU000006590","LUXEMBOURG AIRPORT, LU","2015-01-21","0.00",,"31","33","26"
"LU000006590","LUXEMBOURG AIRPORT, LU","2015-01-22","0.00",,"31","32","30"
"LU000006590","LUXEMBOURG AIRPORT, LU","2015-01-23","0.00",,"31","33","27"
"LU000006590","LUXEMBOURG AIRPORT, LU","2015-01-24","0.09",,"31","34","28"
"LU000006590","LUXEMBOURG AIRPORT, LU","2015-01-25","0.20",,"32","34","27"
"LU000006590","LUXEMBOURG AIRPORT, LU","2015-01-26","0.17","2.8","34","37","31"
"LU000006590","LUXEMBOURG AIRPORT, LU","2015-01-27","0.00","1.2","35","37","32"
"LU000006590","LUXEMBOURG AIRPORT, LU","2015-01-28","0.17","0.8","36","41","34"
"LU000006590","LUXEMBOURG AIRPORT, LU","2015-01-29","0.25",,"33","38","30"
"LU000006590","LUXEMBOURG AIRPORT, LU","2015-01-30","0.19",,"31","33","28"
"LU000006590","LUXEMBOURG AIRPORT, LU","2015-01-31","0.14","3.9","31","33","30"
"LU000006590","LUXEMBOURG AIRPORT, LU","2015-02-01","0.06","5.1","31","33","28"
"LU000006590","LUXEMBOURG AIRPORT, LU","2015-02-02","0.00","4.7","31","35","26"
"LU000006590","LUXEMBOURG AIRPORT, LU","2015-02-03","0.00","4.7","28","35","20"
"LU000006590","LUXEMBOURG AIRPORT, LU","2015-02-04","0.00","3.1","29","34","25"
"LU000006590","LUXEMBOURG AIRPORT, LU","2015-02-05","0.00","3.1","27","29","24"
"LU000006590","LUXEMBOURG AIRPORT, LU","2015-02-06","0.00","3.1","28","33","24"
"LU000006590","LUXEMBOURG AIRPORT, LU","2015-02-07","0.00","2.8","30","38","22"
"LU000006590","LUXEMBOURG AIRPORT, LU","2015-02-08","0.00","2.8","35","37","32"
"LU000006590","LUXEMBOURG AIRPORT, LU","2015-02-09","0.00",,"35","38","33"
"LU000006590","LUXEMBOURG AIRPORT, LU","2015-02-10","0.00",,"37","40","34"
"LU000006590","LUXEMBOURG AIRPORT, LU","2015-02-11","0.00",,"35","39","29"
"LU000006590","LUXEMBOURG AIRPORT, LU","2015-02-12","0.00",,"30","32","28"
"LU000006590","LUXEMBOURG AIRPORT, LU","2015-02-13","0.01",,"34","44","27"
