DATE,PRCP,SNWD,TAVG,TMAX,TMIN
2015-01-01,0.0,2.8,29.0,32.0,27.0
2015-01-02,0.08,,33.0,37.0,27.0
2015-01-03,0.29,,35.0,48.0,32.0
2015-01-04,0.0,,35.0,40.0,30.0
2015-01-05,0.0,,28.0,35.0,22.0
2015-01-06,0.02,,25.0,31.0,20.0
2015-01-07,0.0,,32.0,33.0,31.0
2015-01-08,0.18,,41.0,46.0,33.0
2015-01-09,0.09,,46.0,53.0,41.0
2015-01-10,0.09,,51.0,55.0,39.0
2015-01-11,0.01,,38.0,40.0,34.0
2015-01-12,0.0,,40.0,42.0,38.0
2015-01-13,0.38,,44.0,52.0,40.0
2015-01-14,0.15,,38.0,45.0,34.0
2015-01-15,0.11,,44.0,47.0,38.0
2015-01-16,0.15,,38.0,42.0,35.0
2015-01-17,0.0,,35.0,39.0,28.0
2015-01-18,0.0,,31.0,35.0,26.0
2015-01-19,0.0,,27.0,28.0,26.0
2015-01-20,0.0,,30.0,34.0,27.0
2015-01-21,0.0,,31.0,33.0,26.0
2015-01-22,0.0,,31.0,32.0,30.0
2015-01-23,0.0,,31.0,33.0,27.0
2015-01-24,0.09,,31.0,34.0,28.0
2015-01-25,0.2,,32.0,34.0,27.0
2015-01-26,0.17,2.8,34.0,37.0,31.0
2015-01-27,0.0,1.2,35.0,37.0,32.0
2015-01-28,0.17,0.8,36.0,41.0,34.0
2015-01-29,0.25,,33.0,38.0,30.0
2015-01-30,0.19,,31.0,33.0,28.0
2015-01-31,0.14,3.9,31.0,33.0,30.0
2015-02-01,0.06,5.1,31.0,33.0,28.0
2015-02-02,0.0,4.7,31.0,35.0,26.0
2015-02-03,0.0,4.7,28.0,35.0,20.0
2015-02-04,0.0,3.1,29.0,34.0,25.0
2015-02-05,0.0,3.1,27.0,29.0,24.0
2015-02-06,0.0,3.1,28.0,33.0,24.0
2015-02-07,0.0,2.8,30.0,38.0,22.0
2015-02-08,0.0,2.8,35.0,37.0,32.0
2015-02-09,0.0,,35.0,38.0,33.0
2015-02-10,0.0,,37.0,40.0,34.0
2015-02-11,0.0,,35.0,39.0,29.0
2015-02-12,0.0,,30.0,32.0,28.0
2015-02-13,0.01,,34.0,44.0,27.0
2015-02-14,0.37,,40.0,45.0,38.0
2015-02-15,0.0,,35.0,42.0,28.0
2015-02-16,0.0,,31.0,32.0,28.0
2015-02-17,0.0,,32.0,36.0,29.0
2015-02-18,0.0,,36.0,40.0,28.0
2015-02-19,0.0,,30.0,32.0,28.0
2015-02-20,0.28,,40.0,49.0,31.0
2015-02-21,0.14,,36.0,40.0,32.0
2015-02-22,0.02,,35.0,41.0,31.0
2015-02-23,0.27,0.4,35.0,42.0,31.0
2015-02-24,0.02,,36.0,40.0,33.0
2015-02-25,0.07,,36.0,41.0,33.0
2015-02-26,0.37,,40.0,43.0,38.0
2015-02-27,0.0,,38.0,40.0,29.0
2015-02-28,0.06,,35.0,44.0,27.0
2015-03-01,0.25,,42.0,49.0,34.0
2015-03-02,0.11,,41.0,46.0,33.0
2015-03-03,0.11,,37.0,48.0,29.0
2015-03-04,0.0,,37.0,42.0,32.0
2015-03-05,0.0,,39.0,46.0,33.0
2015-03-06,0.0,,40.0,48.0,29.0
2015-03-07,0.0,,42.0,50.0,32.0
2015-03-08,0.0,,47.0,59.0,37.0
2015-03-09,0.0,,47.0,57.0,38.0
2015-03-10,0.02,,45.0,50.0,41.0
2015-03-11,0.0,,41.0,50.0,33.0
2015-03-12,0.0,,42.0,53.0,33.0
2015-03-13,0.0,,38.0,49.0,31.0
2015-03-14,0.0,,39.0,47.0,33.0
2015-03-15,0.02,,37.0,42.0,34.0
2015-03-16,0.0,,42.0,53.0,33.0
2015-03-17,0.0,,51.0,64.0,41.0
2015-03-18,0.0,,53.0,65.0,44.0
2015-03-19,0.0,,44.0,47.0,41.0
2015-03-20,0.0,,45.0,57.0,38.0
2015-03-21,0.0,,39.0,45.0,34.0
2015-03-22,0.0,,39.0,45.0,35.0
2015-03-23,0.0,,41.0,49.0,29.0
2015-03-24,0.0,,45.0,53.0,36.0
2015-03-25,0.03,,42.0,46.0,39.0
2015-03-26,0.0,,40.0,45.0,36.0
2015-03-27,0.0,,42.0,49.0,36.0
2015-03-28,0.03,,44.0,50.0,35.0
2015-03-29,0.43,,49.0,50.0,45.0
2015-03-30,0.05,,45.0,51.0,40.0
2015-03-31,0.39,,46.0,52.0,36.0
2015-04-01,0.14,,39.0,45.0,34.0
2015-04-02,0.11,,40.0,46.0,31.0
2015-04-03,0.05,,39.0,45.0,30.0
2015-04-04,0.24,,39.0,42.0,35.0
2015-04-05,0.0,,40.0,49.0,32.0
2015-04-06,0.0,,41.0,50.0,30.0
2015-04-07,0.0,,45.0,56.0,35.0
2015-04-08,0.0,,50.0,59.0,37.0
2015-04-09,0.0,,54.0,65.0,40.0
2015-04-10,0.0,,58.0,69.0,45.0
2015-04-11,0.04,,51.0,53.0,48.0
