"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"MT000016597","LUQA, MT","2015-01-01","0.05","45",,"36"
"MT000016597","LUQA, MT","2015-01-02","0.39","50","54",
"MT000016597","LUQA, MT","2015-01-03","0.00","54","61","43"
"MT000016597","LUQA, MT","2015-01-04","0.00","59","61","57"
"MT000016597","LUQA, MT","2015-01-05","0.03","54","60",
"MT000016597","LUQA, MT","2015-01-06","0.00","53","60","45"
"MT000016597","LUQA, MT","2015-01-07","0.00","53","62","46"
"MT000016597","LUQA, MT","2015-01-08","0.00","53",,"44"
"MT000016597","LUQA, MT","2015-01-09","0.00","56","62","51"
"MT000016597","LUQA, MT","2015-01-10","0.00","59",,"56"
"MT000016597","LUQA, MT","2015-01-11","0.00","60","63","58"
"MT000016597","LUQA, MT","2015-01-12","0.00","57",,
"MT000016597","LUQA, MT","2015-01-13","0.00","54",,"47"
"MT000016597","LUQA, MT","2015-01-14","0.00","56","62",
"MT000016597","LUQA, MT","2015-01-15","0.00","57","64",
"MT000016597","LUQA, MT","2015-01-16","0.01","57","63","47"
"MT000016597","LUQA, MT","2015-01-17","0.02","61","65","55"
"MT000016597","LUQA, MT","2015-01-18","0.00","60","65",
"MT000016597","LUQA, MT","2015-01-19","0.00","56","60",
"MT000016597","LUQA, MT","2015-01-20","0.04","55","60",
"MT000016597","LUQA, MT","2015-01-21","0.07","56","62","49"
"MT000016597","LUQA, MT","2015-01-22","0.00","56",,
"MT000016597","LUQA, MT","2015-01-23","0.20","53","56","48"
"MT000016597","LUQA, MT","2015-01-24","0.16","55","59","51"
"MT000016597","LUQA, MT","2015-01-25","0.18","53","60",
"MT000016597","LUQA, MT","2015-01-26","0.05","51","59",
"MT000016597","LUQA, MT","2015-01-27","0.31","52","58","45"
"MT000016597","LUQA, MT","2015-01-28","0.30","50","55",
"MT000016597","LUQA, MT","2015-01-29","0.00","52","57","50"
"MT000016597","LUQA, MT","2015-01-30","0.00","56",,"50"
"MT000016597","LUQA, MT","2015-01-31","0.01","60","63","52"
"MT000016597","LUQA, MT","2015-02-01","0.00","55","62",
"MT000016597","LUQA, MT","2015-02-02","0.06","51","56","45"
"MT000016597","LUQA, MT","2015-02-03","0.09","55","59","46"
"MT000016597","LUQA, MT","2015-02-04","0.00","58","63",
"MT000016597","LUQA, MT","2015-02-05","0.01","57","66","50"
"MT000016597","LUQA, MT","2015-02-06","0.06","53",,"46"
"MT000016597","LUQA, MT","2015-02-07","0.00","51","58",
"MT000016597","LUQA, MT","2015-02-08","0.00","51","56",
"MT000016597","LUQA, MT","2015-02-09","0.33","47","53","44"
"MT000016597","LUQA, MT","2015-02-10","0.03","51","57","44"
"MT000016597","LUQA, MT","2015-02-11","0.00","53","59","45"
"MT000016597","LUQA, MT","2015-02-12","0.00","54","61","48"
"MT000016597","LUQA, MT","2015-02-13","0.01","54","56",
"MT000016597","LUQA, MT","2015-02-14","0.06","52","55","50"
"MT000016597","LUQA, MT","2015-02-15","0.10","54","61","47"
"MT000016597","LUQA, MT","2015-02-16","0.02","56","60","50"
"MT000016597","LUQA, MT","2015-02-17","0.77","54","58","51"
"MT000016597","LUQA, MT","2015-02-18","0.95","55","61","49"
"MT000016597","LUQA, MT","2015-02-19","0.29","52","57",
"MT000016597","LUQA, MT","2015-02-20","0.01","51","58","42"
"MT000016597","LUQA, MT","2015-02-21","0.00","55",,"47"
"MT000016597","LUQA, MT","2015-02-22","0.41","57","61",
"MT000016597","LUQA, MT","2015-02-23","0.02","53","57","50"
"MT000016597","LUQA, MT","2015-02-24","0.35","55","61",
"MT000016597","LUQA, MT","2015-02-25","0.23","53","56","46"
"MT000016597","LUQA, MT","2015-02-26","0.09","52",,"49"
"MT000016597","LUQA, MT","2015-02-27","0.55","53","60","44"
"MT000016597","LUQA, MT","2015-02-28","0.02","55","61",
"MT000016597","LUQA, MT","2015-03-01","0.00","53","61","49"
"MT000016597","LUQA, MT","2015-03-02","0.00","55","61",
"MT000016597","LUQA, MT","2015-03-03","0.00","60",,"54"
"MT000016597","LUQA, MT","2015-03-04","0.00","59","67","53"
"MT000016597","LUQA, MT","2015-03-05","0.01","55","60",
"MT000016597","LUQA, MT","2015-03-06","0.10","52","57","47"
"MT000016597","LUQA, MT","2015-03-07","0.06","52","58",
"MT000016597","LUQA, MT","2015-03-08","0.00","51","58",
"MT000016597","LUQA, MT","2015-03-09","0.35","51","58",
"MT000016597","LUQA, MT","2015-03-10","0.04","52","57",
"MT000016597","LUQA, MT","2015-03-11","0.23","53","60","45"
