DATE,PRCP,TAVG,TMAX,TMIN
2015-01-01,0.05,45,,36.0
2015-01-02,0.39,50,54.0,
2015-01-03,0.0,54,61.0,43.0
2015-01-04,0.0,59,61.0,57.0
2015-01-05,0.03,54,60.0,
2015-01-06,0.0,53,60.0,45.0
2015-01-07,0.0,53,62.0,46.0
2015-01-08,0.0,53,,44.0
2015-01-09,0.0,56,62.0,51.0
2015-01-10,0.0,59,,56.0
2015-01-11,0.0,60,63.0,58.0
2015-01-12,0.0,57,,
2015-01-13,0.0,54,,47.0
2015-01-14,0.0,56,62.0,
2015-01-15,0.0,57,64.0,
2015-01-16,0.01,57,63.0,47.0
2015-01-17,0.02,61,65.0,55.0
2015-01-18,0.0,60,65.0,
2015-01-19,0.0,56,60.0,
2015-01-20,0.04,55,60.0,
2015-01-21,0.07,56,62.0,49.0
2015-01-22,0.0,56,,
2015-01-23,0.2,53,56.0,48.0
2015-01-24,0.16,55,59.0,51.0
2015-01-25,0.18,53,60.0,
2015-01-26,0.05,51,59.0,
2015-01-27,0.31,52,58.0,45.0
2015-01-28,0.3,50,55.0,
2015-01-29,0.0,52,57.0,50.0
2015-01-30,0.0,56,,50.0
2015-01-31,0.01,60,63.0,52.0
2015-02-01,0.0,55,62.0,
2015-02-02,0.06,51,56.0,45.0
2015-02-03,0.09,55,59.0,46.0
2015-02-04,0.0,58,63.0,
2015-02-05,0.01,57,66.0,50.0
2015-02-06,0.06,53,,46.0
2015-02-07,0.0,51,58.0,
2015-02-08,0.0,51,56.0,
2015-02-09,0.33,47,53.0,44.0
2015-02-10,0.03,51,57.0,44.0
2015-02-11,0.0,53,59.0,45.0
2015-02-12,0.0,54,61.0,48.0
2015-02-13,0.01,54,56.0,
2015-02-14,0.06,52,55.0,50.0
2015-02-15,0.1,54,61.0,47.0
2015-02-16,0.02,56,60.0,50.0
2015-02-17,0.77,54,58.0,51.0
2015-02-18,0.95,55,61.0,49.0
2015-02-19,0.29,52,57.0,
2015-02-20,0.01,51,58.0,42.0
2015-02-21,0.0,55,,47.0
2015-02-22,0.41,57,61.0,
2015-02-23,0.02,53,57.0,50.0
2015-02-24,0.35,55,61.0,
2015-02-25,0.23,53,56.0,46.0
2015-02-26,0.09,52,,49.0
2015-02-27,0.55,53,60.0,44.0
2015-02-28,0.02,55,61.0,
2015-03-01,0.0,53,61.0,49.0
2015-03-02,0.0,55,61.0,
2015-03-03,0.0,60,,54.0
2015-03-04,0.0,59,67.0,53.0
2015-03-05,0.01,55,60.0,
2015-03-06,0.1,52,57.0,47.0
2015-03-07,0.06,52,58.0,
2015-03-08,0.0,51,58.0,
2015-03-09,0.35,51,58.0,
2015-03-10,0.04,52,57.0,
2015-03-11,0.23,53,60.0,45.0
2015-03-12,0.0,56,61.0,50.0
2015-03-13,0.0,53,60.0,
2015-03-14,,53,61.0,
2015-03-15,0.0,56,62.0,47.0
2015-03-16,0.0,58,59.0,56.0
2015-03-17,0.11,57,63.0,
2015-03-18,0.01,55,61.0,
2015-03-19,0.01,56,62.0,48.0
2015-03-20,0.01,56,62.0,51.0
2015-03-21,0.0,56,60.0,52.0
2015-03-22,0.02,60,67.0,
2015-03-23,0.0,59,67.0,52.0
2015-03-24,,58,62.0,
2015-03-25,0.09,60,65.0,
2015-03-26,0.01,59,,
2015-03-27,0.65,57,62.0,53.0
2015-03-28,0.47,56,63.0,
2015-03-29,0.2,58,64.0,
2015-03-30,0.0,59,63.0,
2015-03-31,0.0,60,66.0,57.0
2015-04-01,0.0,59,64.0,
2015-04-02,0.0,57,64.0,53.0
2015-04-03,0.0,57,64.0,53.0
2015-04-04,0.0,57,63.0,51.0
2015-04-05,0.0,59,65.0,
2015-04-06,0.0,57,62.0,
2015-04-07,0.0,54,60.0,
2015-04-08,0.0,53,60.0,48.0
2015-04-09,0.0,55,62.0,47.0
2015-04-10,0.0,55,64.0,47.0
2015-04-11,0.0,56,63.0,45.0
2015-04-12,0.0,58,64.0,51.0
2015-04-13,0.0,57,65.0,49.0
2015-04-14,0.01,61,,52.0
2015-04-15,0.0,62,72.0,53.0
2015-04-16,0.01,61,70.0,51.0
2015-04-17,0.01,63,,57.0
2015-04-18,0.0,67,79.0,55.0
2015-04-19,0.0,64,72.0,
2015-04-20,0.0,62,68.0,59.0
2015-04-21,0.09,62,68.0,
2015-04-22,0.01,62,,53.0
2015-04-23,0.01,62,69.0,56.0
2015-04-24,0.0,63,69.0,
2015-04-25,,62,66.0,
2015-04-26,0.01,63,72.0,56.0
2015-04-27,0.0,64,71.0,
2015-04-28,0.0,64,72.0,58.0
2015-04-29,0.0,62,69.0,
2015-04-30,0.0,64,73.0,53.0
2015-05-01,0.0,66,77.0,56.0
2015-05-02,0.0,67,,58.0
2015-05-03,0.0,72,85.0,60.0
2015-05-04,0.0,72,82.0,61.0
2015-05-05,0.0,71,81.0,
2015-05-06,0.0,74,85.0,
