"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"PL000012120","LEBA, PL","2015-01-01","0.00",,"39","42","34"
"PL000012120","LEBA, PL","2015-01-02","0.05",,"41","45","37"
"PL000012120","LEBA, PL","2015-01-03","0.04",,"40","43","36"
"PL000012120","LEBA, PL","2015-01-04","0.09",,"39","41","38"
"PL000012120","LEBA, PL","2015-01-05","0.00",,"37","39","36"
"PL000012120","LEBA, PL","2015-01-06","0.00",,"29","37",
"PL000012120","LEBA, PL","2015-01-07","0.02",,"27",,"21"
"PL000012120","LEBA, PL","2015-01-08","0.06",,"36",,"28"
"PL000012120","LEBA, PL","2015-01-09","0.28",,"40","42","33"
"PL000012120","LEBA, PL","2015-01-10","0.25",,"42","47","37"
"PL000012120","LEBA, PL","2015-01-11","0.24",,"40","43",
"PL000012120","LEBA, PL","2015-01-12","0.04",,"41",,"37"
"PL000012120","LEBA, PL","2015-01-13","0.04",,"44","46","40"
"PL000012120","LEBA, PL","2015-01-14","0.16",,"40","45",
"PL000012120","LEBA, PL","2015-01-15","0.03",,"37",,"32"
"PL000012120","LEBA, PL","2015-01-16","0.00",,"43","47","37"
"PL000012120","LEBA, PL","2015-01-17","0.02",,"38","42",
"PL000012120","LEBA, PL","2015-01-18","0.02",,"33","38","29"
"PL000012120","LEBA, PL","2015-01-19","0.00",,"32","36","29"
"PL000012120","LEBA, PL","2015-01-20","0.01",,"32","33","30"
"PL000012120","LEBA, PL","2015-01-21","0.07","1.6","32","34","30"
"PL000012120","LEBA, PL","2015-01-22","0.00","0.4","32","33","30"
"PL000012120","LEBA, PL","2015-01-23","0.00",,"32","38",
"PL000012120","LEBA, PL","2015-01-24","0.00",,"28","33","21"
"PL000012120","LEBA, PL","2015-01-25","0.00",,"32","37","28"
"PL000012120","LEBA, PL","2015-01-26","0.00",,"33","35","31"
"PL000012120","LEBA, PL","2015-01-27","0.08","1.6","34","38","31"
"PL000012120","LEBA, PL","2015-01-28","0.02","0.4","36",,"34"
"PL000012120","LEBA, PL","2015-01-29","0.04",,"35","38",
"PL000012120","LEBA, PL","2015-01-30","0.00",,"33","35","31"
"PL000012120","LEBA, PL","2015-01-31","0.06","0.8","33","35","31"
"PL000012120","LEBA, PL","2015-02-01","0.14","1.6","32","34",
"PL000012120","LEBA, PL","2015-02-02","0.13","4.7","32","34","30"
"PL000012120","LEBA, PL","2015-02-03","0.04","5.1","29","34",
"PL000012120","LEBA, PL","2015-02-04","0.00","5.1","28","33","21"
"PL000012120","LEBA, PL","2015-02-05","0.00","4.3","26","35",
"PL000012120","LEBA, PL","2015-02-06","0.00","3.9","27",,"17"
"PL000012120","LEBA, PL","2015-02-07","0.00","3.1","37","40","31"
"PL000012120","LEBA, PL","2015-02-08","0.04",,"34","40","32"
"PL000012120","LEBA, PL","2015-02-09","0.00",,"38","42",
"PL000012120","LEBA, PL","2015-02-10","0.00",,"35","39","32"
"PL000012120","LEBA, PL","2015-02-11","0.00",,"35","37","32"
"PL000012120","LEBA, PL","2015-02-12","0.00",,"33","35",
"PL000012120","LEBA, PL","2015-02-13","0.00",,"31","39",
"PL000012120","LEBA, PL","2015-02-14","0.00",,"30","37","24"
"PL000012120","LEBA, PL","2015-02-15","0.00",,"34","35","30"
"PL000012120","LEBA, PL","2015-02-16","0.00",,"33","37",
"PL000012120","LEBA, PL","2015-02-17","0.00",,"31","39","25"
"PL000012120","LEBA, PL","2015-02-18","0.00",,"36",,"30"
"PL000012120","LEBA, PL","2015-02-19","0.00",,"38","41",
"PL000012120","LEBA, PL","2015-02-20","0.00",,"35","40","31"
"PL000012120","LEBA, PL","2015-02-21","0.00",,"42","50","35"
"PL000012120","LEBA, PL","2015-02-22","0.00",,"37","45",
"PL000012120","LEBA, PL","2015-02-23","0.00",,"37","43","26"
"PL000012120","LEBA, PL","2015-02-24","0.04",,"38","45",
"PL000012120","LEBA, PL","2015-02-25","0.00",,"35","46","29"
"PL000012120","LEBA, PL","2015-02-26","0.00",,"34","42","30"
"PL000012120","LEBA, PL","2015-02-27","0.00",,"39","46","30"
"PL000012120","LEBA, PL","2015-02-28","0.00",,"38","42",
"PL000012120","LEBA, PL","2015-03-01","0.00",,"38","46","30"
"PL000012120","LEBA, PL","2015-03-02","0.02",,"38","45","32"
"PL000012120","LEBA, PL","2015-03-03","0.02",,"38","41",
"PL000012120","LEBA, PL","2015-03-04","0.42","2.4","35","39","32"
"PL000012120","LEBA, PL","2015-03-05","0.08","0.8","36","41",
"PL000012120","LEBA, PL","2015-03-06","0.00",,"36","42","28"
"PL000012120","LEBA, PL","2015-03-07","0.11",,"44","48","39"
"PL000012120","LEBA, PL","2015-03-08","0.00",,"50","58","44"
"PL000012120","LEBA, PL","2015-03-09","0.00",,"42","52",
"PL000012120","LEBA, PL","2015-03-10","0.00",,"40","53","29"
"PL000012120","LEBA, PL","2015-03-11","0.00",,"39","43",
"PL000012120","LEBA, PL","2015-03-12","0.00",,"38","42","36"
"PL000012120","LEBA, PL","2015-03-13","0.00",,"38","40","35"
"PL000012120","LEBA, PL","2015-03-14","0.00",,"40","47","38"
"PL000012120","LEBA, PL","2015-03-15","0.00",,"42","49","36"
"PL000012120","LEBA, PL","2015-03-16","0.00",,"46","53","41"
"PL000012120","LEBA, PL","2015-03-17","0.00",,"48","59","39"
"PL000012120","LEBA, PL","2015-03-18","0.00",,"44","58",
"PL000012120","LEBA, PL","2015-03-19","0.00",,"36","52","26"
"PL000012120","LEBA, PL","2015-03-20","0.00",,"38","49","25"
"PL000012120","LEBA, PL","2015-03-21","0.09",,"37","43","33"
"PL000012120","LEBA, PL","2015-03-22","0.13",,"33","37",
"PL000012120","LEBA, PL","2015-03-23","0.00",,"38","48","27"
"PL000012120","LEBA, PL","2015-03-24","0.00",,"38","44","32"
"PL000012120","LEBA, PL","2015-03-25","0.00",,"39","47","30"
"PL000012120","LEBA, PL","2015-03-26","0.08",,"48","55","38"
"PL000012120","LEBA, PL","2015-03-27","0.04",,"41","48",
"PL000012120","LEBA, PL","2015-03-28","0.00",,"40","45",
"PL000012120","LEBA, PL","2015-03-29","0.00",,"43","47","30"
"PL000012120","LEBA, PL","2015-03-30","0.18",,"42","46","38"
"PL000012120","LEBA, PL","2015-03-31","0.41",,"38","42","34"
"PL000012120","LEBA, PL","2015-04-01","0.25",,"40","44","34"
"PL000012120","LEBA, PL","2015-04-02","0.00",,"40","43",
"PL000012120","LEBA, PL","2015-04-03","0.00",,"39","44",
"PL000012120","LEBA, PL","2015-04-04","0.00",,"36","43","27"
"PL000012120","LEBA, PL","2015-04-05","0.01",,"39","43","36"
"PL000012120","LEBA, PL","2015-04-06","0.02",,"39","44","35"
"PL000012120","LEBA, PL","2015-04-07","0.00",,"41","43","34"
"PL000012120","LEBA, PL","2015-04-08","0.00",,"41","47",
"PL000012120","LEBA, PL","2015-04-09","0.00",,"44","56","27"
"PL000012120","LEBA, PL","2015-04-10","0.00",,"46","56","34"
"PL000012120","LEBA, PL","2015-04-11","0.00",,"55","71","37"
"PL000012120","LEBA, PL","2015-04-12","0.03",,"47","60","43"
"PL000012120","LEBA, PL","2015-04-13","0.04",,"44","50","39"
"PL000012120","LEBA, PL","2015-04-14","0.04",,"43",,"40"
"PL000012120","LEBA, PL","2015-04-15","0.10",,"48","58","43"
"PL000012120","LEBA, PL","2015-04-16","0.00",,"44","52","42"
"PL000012120","LEBA, PL","2015-04-17","0.00",,"42","45","38"
"PL000012120","LEBA, PL","2015-04-18","0.02",,"42","45","39"
"PL000012120","LEBA, PL","2015-04-19","0.00",,"44","46","39"
"PL000012120","LEBA, PL","2015-04-20","0.00",,"45","48",
"PL000012120","LEBA, PL","2015-04-21","0.00",,"41","49","33"
"PL000012120","LEBA, PL","2015-04-22","0.00",,"43","53","30"
"PL000012120","LEBA, PL","2015-04-23","0.00",,"49","52","45"
"PL000012120","LEBA, PL","2015-04-24","0.00",,"47","54",
"PL000012120","LEBA, PL","2015-04-25","0.00",,"55","69","39"
"PL000012120","LEBA, PL","2015-04-26","0.00",,"51","59","47"
"PL000012120","LEBA, PL","2015-04-27","0.00",,"50","64",
"PL000012120","LEBA, PL","2015-04-28","0.17",,"44","46",
"PL000012120","LEBA, PL","2015-04-29","0.16",,"45","51",
"PL000012120","LEBA, PL","2015-04-30","0.00",,"50","61","35"
"PL000012120","LEBA, PL","2015-05-01","0.00",,"46","55","42"
"PL000012120","LEBA, PL","2015-05-02","0.18",,"47","53",
"PL000012120","LEBA, PL","2015-05-03","0.00",,"46","53","33"
"PL000012120","LEBA, PL","2015-05-04","0.12",,"51","58","46"
"PL000012120","LEBA, PL","2015-05-05","0.17",,"60","71","44"
"PL000012120","LEBA, PL","2015-05-06","0.13",,"55","66","51"
"PL000012120","LEBA, PL","2015-05-07","0.00",,"54","61","48"
"PL000012120","LEBA, PL","2015-05-08","0.00",,"48","55",
"PL000012120","LEBA, PL","2015-05-09","0.00",,"53","65","38"
"PL000012120","LEBA, PL","2015-05-10","0.19",,"51","62",
"PL000012120","LEBA, PL","2015-05-11","0.00",,"52","59","47"
"PL000012120","LEBA, PL","2015-05-12","0.00",,"61","75","47"
"PL000012120","LEBA, PL","2015-05-13","0.26",,"51","71","47"
"PL000012120","LEBA, PL","2015-05-14","0.02",,"50","55",
"PL000012120","LEBA, PL","2015-05-15","0.00",,"50","54","45"
"PL000012120","LEBA, PL","2015-05-16","0.00",,"50","58","46"
"PL000012120","LEBA, PL","2015-05-17","0.01",,"50","53","47"
"PL000012120","LEBA, PL","2015-05-18","0.00",,"50","54","45"
"PL000012120","LEBA, PL","2015-05-19","0.01",,"54","64",
"PL000012120","LEBA, PL","2015-05-20","0.00",,"51","61",
"PL000012120","LEBA, PL","2015-05-21","0.06",,"49","58","38"
"PL000012120","LEBA, PL","2015-05-22","0.00",,"50","58","36"
"PL000012120","LEBA, PL","2015-05-23","0.04",,"51","58","43"
"PL000012120","LEBA, PL","2015-05-24","0.00",,"49","57","40"
"PL000012120","LEBA, PL","2015-05-25","0.00",,"56","68","37"
"PL000012120","LEBA, PL","2015-05-26","0.09",,"53","59",
"PL000012120","LEBA, PL","2015-05-27","0.00",,"52","56","50"
"PL000012120","LEBA, PL","2015-05-28","0.00",,"57","66","49"
"PL000012120","LEBA, PL","2015-05-29","0.08",,"53","61",
"PL000012120","LEBA, PL","2015-05-30","0.00",,"53","63",
"PL000012120","LEBA, PL","2015-05-31","0.28",,"53","61","45"
"PL000012120","LEBA, PL","2015-06-01","0.00",,"54","63",
"PL000012120","LEBA, PL","2015-06-02","0.02",,"60","70","40"
"PL000012120","LEBA, PL","2015-06-03","0.00",,"62","69",
"PL000012120","LEBA, PL","2015-06-04","0.00",,"53","58",
"PL000012120","LEBA, PL","2015-06-05","0.00",,"55","65","40"
"PL000012120","LEBA, PL","2015-06-06","0.00",,"67","85","54"
"PL000012120","LEBA, PL","2015-06-07","0.00",,"58","65",
"PL000012120","LEBA, PL","2015-06-08","0.00",,"54","59","48"
"PL000012120","LEBA, PL","2015-06-09","0.00",,"52","59","43"
"PL000012120","LEBA, PL","2015-06-10","0.00",,"52","61","36"
"PL000012120","LEBA, PL","2015-06-11","0.00",,"55","62","42"
"PL000012120","LEBA, PL","2015-06-12","0.00",,"56","64","41"
"PL000012120","LEBA, PL","2015-06-13","0.15",,"64","72","51"
"PL000012120","LEBA, PL","2015-06-14","0.01",,"61","69",
"PL000012120","LEBA, PL","2015-06-15","0.00",,"55","60",
