"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"PO000008506","HORTA AZORES, PO","2015-01-01","0.01",,"63","65","62"
"PO000008506","HORTA AZORES, PO","2015-01-02",,,"62","65",
"PO000008506","HORTA AZORES, PO","2015-01-03",,,"62","64",
"PO000008506","HORTA AZORES, PO","2015-01-04",,,"61","65",
"PO000008506","HORTA AZORES, PO","2015-01-05",,,"54","56",
"PO000008506","HORTA AZORES, PO","2015-01-06",,,"54","59","50"
"PO000008506","HORTA AZORES, PO","2015-01-07",,,"60","63","56"
"PO000008506","HORTA AZORES, PO","2015-01-08",,,"61","65",
"PO000008506","HORTA AZORES, PO","2015-01-09",,,"60","62",
"PO000008506","HORTA AZORES, PO","2015-01-10","0.16",,"59","63","57"
"PO000008506","HORTA AZORES, PO","2015-01-11","0.04",,"60","64","58"
"PO000008506","HORTA AZORES, PO","2015-01-12","0.08",,"59","63",
"PO000008506","HORTA AZORES, PO","2015-01-13",,,"56","61","51"
"PO000008506","HORTA AZORES, PO","2015-01-14",,,"60","63","56"
"PO000008506","HORTA AZORES, PO","2015-01-15",,,"56",,
"PO000008506","HORTA AZORES, PO","2015-01-16",,,"56","60","52"
"PO000008506","HORTA AZORES, PO","2015-01-17",,,"61","64","58"
"PO000008506","HORTA AZORES, PO","2015-01-18",,,"61","69","58"
"PO000008506","HORTA AZORES, PO","2015-01-19",,,"61","67",
"PO000008506","HORTA AZORES, PO","2015-01-20",,,"56","59",
"PO000008506","HORTA AZORES, PO","2015-01-21",,,"56","58","54"
"PO000008506","HORTA AZORES, PO","2015-01-22",,,"58","61","55"
"PO000008506","HORTA AZORES, PO","2015-01-23",,,"60","64","57"
"PO000008506","HORTA AZORES, PO","2015-01-24",,,"59","62",
"PO000008506","HORTA AZORES, PO","2015-01-25",,,"61","64","58"
"PO000008506","HORTA AZORES, PO","2015-01-26",,,"60","65",
"PO000008506","HORTA AZORES, PO","2015-01-27",,,"58","65",
"PO000008506","HORTA AZORES, PO","2015-01-28",,,"57","63","53"
"PO000008506","HORTA AZORES, PO","2015-01-29",,,"57","63","54"
"PO000008506","HORTA AZORES, PO","2015-01-30",,,"56","60","51"
"PO000008506","HORTA AZORES, PO","2015-01-31",,,"59","65","55"
"PO000008506","HORTA AZORES, PO","2015-02-01",,,"58","63","55"
"PO000008506","HORTA AZORES, PO","2015-02-02",,,"58","60","56"
"PO000008506","HORTA AZORES, PO","2015-02-03",,,"60","61","57"
"PO000008506","HORTA AZORES, PO","2015-02-04",,,"60","61",
"PO000008506","HORTA AZORES, PO","2015-02-05","0.37",,"60","64","57"
"PO000008506","HORTA AZORES, PO","2015-02-06",,,"60","63","57"
"PO000008506","HORTA AZORES, PO","2015-02-07",,,"58","61",
"PO000008506","HORTA AZORES, PO","2015-02-08",,,"54","59",
"PO000008506","HORTA AZORES, PO","2015-02-09",,,"54","62","49"
"PO000008506","HORTA AZORES, PO","2015-02-10",,,"56","60","51"
"PO000008506","HORTA AZORES, PO","2015-02-11",,,"59","66","56"
"PO000008506","HORTA AZORES, PO","2015-02-12",,,"58","65","53"
"PO000008506","HORTA AZORES, PO","2015-02-13",,,"61","65","55"
"PO000008506","HORTA AZORES, PO","2015-02-14","0.32",,"62","65","60"
