"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"ROM00015023","STEFAN CEL MARE, RO","2015-01-01",,,"26",,
"ROM00015023","STEFAN CEL MARE, RO","2015-01-02",,,"34",,
"ROM00015023","STEFAN CEL MARE, RO","2015-01-03",,,"35",,
"ROM00015023","STEFAN CEL MARE, RO","2015-01-04",,,"32",,
"ROM00015023","STEFAN CEL MARE, RO","2015-01-05",,"2.4","29","31",
"ROM00015023","STEFAN CEL MARE, RO","2015-01-06","0.00","2.4","18","29",
"ROM00015023","STEFAN CEL MARE, RO","2015-01-07","0.00","2.4","8","13",
"ROM00015023","STEFAN CEL MARE, RO","2015-01-08","0.00","2.4","7","16","-5"
"ROM00015023","STEFAN CEL MARE, RO","2015-01-09","0.00","1.6","33","41","7"
"ROM00015023","STEFAN CEL MARE, RO","2015-01-10","0.01","0.8","39","44",
"ROM00015023","STEFAN CEL MARE, RO","2015-01-11","0.01","1.2","39","47",
"ROM00015023","STEFAN CEL MARE, RO","2015-01-12","0.14","1.6","33","39",
"ROM00015023","STEFAN CEL MARE, RO","2015-01-13","0.00","1.2","36","45","26"
"ROM00015023","STEFAN CEL MARE, RO","2015-01-14","0.00","1.2","40",,"26"
"ROM00015023","STEFAN CEL MARE, RO","2015-01-15","0.00","0.8","36","43",
"ROM00015023","STEFAN CEL MARE, RO","2015-01-16","0.01","0.8","30","38","26"
"ROM00015023","STEFAN CEL MARE, RO","2015-01-17","0.00","0.4","30","36",
"ROM00015023","STEFAN CEL MARE, RO","2015-01-18","0.00","0.4","34",,"28"
"ROM00015023","STEFAN CEL MARE, RO","2015-01-19","0.00",,"30","32","27"
"ROM00015023","STEFAN CEL MARE, RO","2015-01-20","0.01",,"30",,"30"
"ROM00015023","STEFAN CEL MARE, RO","2015-01-21","0.00",,"30","31","30"
"ROM00015023","STEFAN CEL MARE, RO","2015-01-22","0.00",,"32","34","29"
"ROM00015023","STEFAN CEL MARE, RO","2015-01-23","0.00",,"36","39","33"
"ROM00015023","STEFAN CEL MARE, RO","2015-01-24","0.00",,"34","39",
"ROM00015023","STEFAN CEL MARE, RO","2015-01-25","0.01",,"30","32",
"ROM00015023","STEFAN CEL MARE, RO","2015-01-26","0.03","0.4","31","34","30"
"ROM00015023","STEFAN CEL MARE, RO","2015-01-27","0.00",,"32","37","30"
"ROM00015023","STEFAN CEL MARE, RO","2015-01-28","0.00",,"31","36",
"ROM00015023","STEFAN CEL MARE, RO","2015-01-29","0.00",,"31","41","24"
"ROM00015023","STEFAN CEL MARE, RO","2015-01-30","0.00",,"35",,"30"
"ROM00015023","STEFAN CEL MARE, RO","2015-01-31","0.00",,"38","47",
"ROM00015023","STEFAN CEL MARE, RO","2015-02-01","0.00",,"33","37","24"
"ROM00015023","STEFAN CEL MARE, RO","2015-02-02","0.00",,"32","37","27"
