"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"LOE00116344","KOSICE, LO","2015-01-01","0.00","0.4","23","26","19"
"LOE00116344","KOSICE, LO","2015-01-02","0.15","0.4","22","26","17"
"LOE00116344","KOSICE, LO","2015-01-03","0.00","1.6","28","29","24"
"LOE00116344","KOSICE, LO","2015-01-04","0.03","2.0","31","40","27"
"LOE00116344","KOSICE, LO","2015-01-05","0.00","1.6","32","37","24"
"LOE00116344","KOSICE, LO","2015-01-06","0.00","1.2","25","33","17"
"LOE00116344","KOSICE, LO","2015-01-07","0.02","1.2","14","21","7"
"LOE00116344","KOSICE, LO","2015-01-08","0.09","2.4","18","20","11"
"LOE00116344","KOSICE, LO","2015-01-09","0.19","3.1","25","32","19"
"LOE00116344","KOSICE, LO","2015-01-10","0.07","1.2","35","39","31"
"LOE00116344","KOSICE, LO","2015-01-11","0.00","0.8","35","39","33"
"LOE00116344","KOSICE, LO","2015-01-12","0.00",,"34","42","24"
"LOE00116344","KOSICE, LO","2015-01-13","0.00",,"33","40","26"
"LOE00116344","KOSICE, LO","2015-01-14","0.09",,"31","39","24"
"LOE00116344","KOSICE, LO","2015-01-15","0.00",,"32","35","30"
"LOE00116344","KOSICE, LO","2015-01-16","0.00",,"35","38","31"
"LOE00116344","KOSICE, LO","2015-01-17","0.01",,"38","44","33"
"LOE00116344","KOSICE, LO","2015-01-18","0.01",,"37","41","33"
"LOE00116344","KOSICE, LO","2015-01-19","0.05",,"39","42","36"
"LOE00116344","KOSICE, LO","2015-01-20","0.15",,"36","39","34"
"LOE00116344","KOSICE, LO","2015-01-21","0.03",,"40","44","34"
"LOE00116344","KOSICE, LO","2015-01-22","0.13",,"42","44","39"
"LOE00116344","KOSICE, LO","2015-01-23","0.06",,"41","47","36"
"LOE00116344","KOSICE, LO","2015-01-24","0.02",,"37","40","34"
"LOE00116344","KOSICE, LO","2015-01-25","0.00",,"35","39","33"
"LOE00116344","KOSICE, LO","2015-01-26","0.00",,"33","37","30"
"LOE00116344","KOSICE, LO","2015-01-27","0.00",,"31","36","28"
"LOE00116344","KOSICE, LO","2015-01-28","0.00",,"30","38","21"
"LOE00116344","KOSICE, LO","2015-01-29","0.09","0.4","29","35","29"
"LOE00116344","KOSICE, LO","2015-01-30","1.18","1.2","35","42","29"
"LOE00116344","KOSICE, LO","2015-01-31","0.35","2.4","32","42","25"
"LOE00116344","KOSICE, LO","2015-02-01","0.00","2.0","27","37","17"
"LOE00116344","KOSICE, LO","2015-02-02","0.07","2.4","28","33","19"
"LOE00116344","KOSICE, LO","2015-02-03","0.01","2.4","27","31","22"
"LOE00116344","KOSICE, LO","2015-02-04","0.16","7.5","30","32","24"
"LOE00116344","KOSICE, LO","2015-02-05","0.00","5.1","31","37","25"
"LOE00116344","KOSICE, LO","2015-02-06","0.00","3.9","28","31","25"
"LOE00116344","KOSICE, LO","2015-02-07","0.00","2.4","27","36","21"
"LOE00116344","KOSICE, LO","2015-02-08","0.01","2.8","25","31","18"
"LOE00116344","KOSICE, LO","2015-02-09","0.03","2.8","25","30","15"
"LOE00116344","KOSICE, LO","2015-02-10","0.00","2.8","30","32","25"
"LOE00116344","KOSICE, LO","2015-02-11","0.00","2.4","35","41","26"
"LOE00116344","KOSICE, LO","2015-02-12","0.00",,"32","36","25"
"LOE00116344","KOSICE, LO","2015-02-13","0.00",,"31","41","23"
"LOE00116344","KOSICE, LO","2015-02-14","0.00",,"32","45","21"
"LOE00116344","KOSICE, LO","2015-02-15","0.00",,"37","50","25"
"LOE00116344","KOSICE, LO","2015-02-16","0.00",,"32","39","28"
"LOE00116344","KOSICE, LO","2015-02-17","0.00",,"29","39","21"
"LOE00116344","KOSICE, LO","2015-02-18","0.00",,"30","42","18"
"LOE00116344","KOSICE, LO","2015-02-19","0.00",,"33","44","22"
"LOE00116344","KOSICE, LO","2015-02-20","0.00",,"35","45","29"
"LOE00116344","KOSICE, LO","2015-02-21","0.00",,"36","45","25"
"LOE00116344","KOSICE, LO","2015-02-22","0.00",,"41","51","30"
"LOE00116344","KOSICE, LO","2015-02-23","0.06",,"42","47","38"
"LOE00116344","KOSICE, LO","2015-02-24","0.01",,"46","53","41"
"LOE00116344","KOSICE, LO","2015-02-25","0.11",,"44","48","40"
"LOE00116344","KOSICE, LO","2015-02-26","0.01",,"43","46","40"
"LOE00116344","KOSICE, LO","2015-02-27","0.02",,"41","45","38"
"LOE00116344","KOSICE, LO","2015-02-28","0.00",,"40","49","29"
"LOE00116344","KOSICE, LO","2015-03-01","0.00",,"40","45","35"
"LOE00116344","KOSICE, LO","2015-03-02","0.07",,"41","45","37"
"LOE00116344","KOSICE, LO","2015-03-03","0.00",,"37","48","30"
"LOE00116344","KOSICE, LO","2015-03-04","0.02",,"32","42","25"
"LOE00116344","KOSICE, LO","2015-03-05","0.00",,"35","46","24"
"LOE00116344","KOSICE, LO","2015-03-06","0.00",,"35","41","31"
"LOE00116344","KOSICE, LO","2015-03-07","0.00",,"37","50","24"
"LOE00116344","KOSICE, LO","2015-03-08","0.00",,"38","53","26"
"LOE00116344","KOSICE, LO","2015-03-09","0.00",,"40","56","24"
"LOE00116344","KOSICE, LO","2015-03-10","0.00",,"44","61","27"
"LOE00116344","KOSICE, LO","2015-03-11","0.00",,"44","57","31"
"LOE00116344","KOSICE, LO","2015-03-12","0.17",,"42","45","38"
