"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"SIE00115096","VELIKI DOLENCI, SI","2015-01-01","0.00","2.0",,"31","17"
"SIE00115096","VELIKI DOLENCI, SI","2015-01-02","0.06","2.0",,"41","26"
"SIE00115096","VELIKI DOLENCI, SI","2015-01-03","0.00","1.2",,"42","31"
"SIE00115096","VELIKI DOLENCI, SI","2015-01-04","0.02",,,"43","28"
"SIE00115096","VELIKI DOLENCI, SI","2015-01-05","0.00",,,"39","27"
"SIE00115096","VELIKI DOLENCI, SI","2015-01-06","0.00",,,"40","27"
"SIE00115096","VELIKI DOLENCI, SI","2015-01-07","0.00",,,"28","21"
"SIE00115096","VELIKI DOLENCI, SI","2015-01-08","0.00",,,"29","20"
"SIE00115096","VELIKI DOLENCI, SI","2015-01-09","0.00",,,"42","26"
"SIE00115096","VELIKI DOLENCI, SI","2015-01-10","0.00",,,"57","39"
"SIE00115096","VELIKI DOLENCI, SI","2015-01-11","0.20",,,"52","36"
"SIE00115096","VELIKI DOLENCI, SI","2015-01-12","0.00",,,"46","29"
"SIE00115096","VELIKI DOLENCI, SI","2015-01-13","0.00",,,"52","29"
"SIE00115096","VELIKI DOLENCI, SI","2015-01-14","0.03",,,"51","35"
"SIE00115096","VELIKI DOLENCI, SI","2015-01-15","0.00",,,"47","31"
"SIE00115096","VELIKI DOLENCI, SI","2015-01-16","0.00",,,"55","38"
"SIE00115096","VELIKI DOLENCI, SI","2015-01-17","0.01",,,"52","44"
"SIE00115096","VELIKI DOLENCI, SI","2015-01-18","0.00",,,"50","34"
"SIE00115096","VELIKI DOLENCI, SI","2015-01-19","0.00",,,"44","33"
"SIE00115096","VELIKI DOLENCI, SI","2015-01-20","0.07",,,"40","32"
"SIE00115096","VELIKI DOLENCI, SI","2015-01-21","0.02",,,"39","36"
"SIE00115096","VELIKI DOLENCI, SI","2015-01-22","0.00",,,"41","36"
"SIE00115096","VELIKI DOLENCI, SI","2015-01-23","0.39",,,"44","38"
"SIE00115096","VELIKI DOLENCI, SI","2015-01-24","0.10","0.0",,"41","33"
"SIE00115096","VELIKI DOLENCI, SI","2015-01-25","0.00",,,"38","32"
"SIE00115096","VELIKI DOLENCI, SI","2015-01-26","0.00",,,"37","28"
"SIE00115096","VELIKI DOLENCI, SI","2015-01-27","0.00",,,"34","24"
"SIE00115096","VELIKI DOLENCI, SI","2015-01-28","0.00",,,"41","27"
"SIE00115096","VELIKI DOLENCI, SI","2015-01-29","0.02",,,"33","29"
"SIE00115096","VELIKI DOLENCI, SI","2015-01-30","0.42","0.0",,"34","30"
"SIE00115096","VELIKI DOLENCI, SI","2015-01-31","0.00","3.1",,"41","27"
"SIE00115096","VELIKI DOLENCI, SI","2015-02-01","0.19","2.4",,"34","27"
"SIE00115096","VELIKI DOLENCI, SI","2015-02-02","0.00","3.5",,"39","27"
"SIE00115096","VELIKI DOLENCI, SI","2015-02-03","0.00","2.8",,"31","25"
"SIE00115096","VELIKI DOLENCI, SI","2015-02-04","0.00","2.0",,"33","30"
"SIE00115096","VELIKI DOLENCI, SI","2015-02-05","0.00","2.0",,"33","28"
"SIE00115096","VELIKI DOLENCI, SI","2015-02-06","0.00",,,"33","29"
"SIE00115096","VELIKI DOLENCI, SI","2015-02-07","0.00",,,"34","24"
"SIE00115096","VELIKI DOLENCI, SI","2015-02-08","0.06",,,"36","20"
"SIE00115096","VELIKI DOLENCI, SI","2015-02-09","0.16","0.4",,"31","26"
"SIE00115096","VELIKI DOLENCI, SI","2015-02-10","0.00","2.8",,"41","29"
"SIE00115096","VELIKI DOLENCI, SI","2015-02-11","0.00","2.0",,"39","30"
"SIE00115096","VELIKI DOLENCI, SI","2015-02-12","0.00",,,"41","30"
"SIE00115096","VELIKI DOLENCI, SI","2015-02-13","0.00",,,"41","23"
"SIE00115096","VELIKI DOLENCI, SI","2015-02-14","0.00",,,"42","25"
